Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Jim Sorgi ,IND ,QB,42,61,68.9,12.2,444,7.3,88.8,3,1,20,32.8,45,4,1,3,99.4
52,Tommy Maddox ,PIT ,QB,34,71,47.9,17.8,406,5.7,101.5,2,4,19,26.8,32,6,0,8,51.7
53,Patrick Ramsey ,WAS ,QB,15,25,60.0,6.2,279,11.2,69.8,1,1,11,44.0,72T ,4,2,4,95.2
54,Rex Grossman ,CHI ,QB,20,39,51.3,19.5,259,6.6,129.5,1,2,14,35.9,54,4,1,1,59.7
55,Charlie Batch ,PIT ,QB,23,36,63.9,9.0,246,6.8,61.5,1,1,12,33.3,43,2,1,1,81.5
56,Koy Detmer ,PHI ,QB,32,56,57.1,3.5,238,4.3,14.9,0,3,10,17.9,24,1,0,3,45.1
57,Matt Cassel ,NE ,QB,13,24,54.2,12.0,183,7.6,91.5,2,1,8,33.3,36,3,0,1,89.4
58,John Navarre ,ARI ,QB,14,24,58.3,24.0,174,7.3,174.0,1,1,6,25.0,43,3,2,4,77.4
59,Tony Banks ,HOU ,QB,14,25,56.0,12.5,173,6.9,86.5,1,2,7,28.0,31,3,0,0,57.6
59,Seneca Wallace ,SEA ,QB,13,25,52.0,3.6,173,6.9,24.7,1,1,10,40.0,42,3,1,3,70.9
61,Cody Pickett ,SF ,QB,14,35,40.0,7.0,140,4.0,28.0,0,2,4,11.4,28,2,0,3,28.3
62,Matt Mauck ,TEN ,QB,15,27,55.6,13.5,136,5.0,68.0,0,1,5,18.5,17,0,0,1,53.9
63,Marques Tuiasosopo ,OAK ,QB,14,26,53.8,26.0,124,4.8,124.0,1,2,8,30.8,20T ,1,0,6,47.6
64,Philip Rivers ,SD ,QB,12,22,54.5,11.0,115,5.2,57.5,0,1,6,27.3,22,1,0,3,50.4
65,Jay Fiedler ,NYJ ,QB,8,13,61.5,6.5,107,8.2,53.5,1,0,5,38.5,23T ,2,0,0,113.3
66,Quinn Gray ,JAC ,QB,8,14,57.1,14.0,100,7.1,100.0,2,0,6,42.9,26,2,0,1,119.0
67,Jon Kitna ,CIN ,QB,17,29,58.6,9.7,99,3.4,33.0,0,2,6,20.7,16,0,0,2,36.4
68,Antwaan Randle El ,PIT ,WR,3,3,100.0,0.2,67,22.3,4.2,1,0,2,66.7,51T ,1,1,0,158.3
69,Aaron Rodgers ,GB ,QB,9,16,56.3,5.3,65,4.1,21.7,0,1,3,18.8,16,0,0,3,39.8
70,Chris Weinke ,CAR ,QB,7,13,53.8,4.3,64,4.9,21.3,1,0,4,30.8,18,0,0,0,93.1
71,Dan Orlovsky ,DET ,QB,7,17,41.2,8.5,63,3.7,31.5,0,0,5,29.4,20,1,0,1,51.8
72,Jeff Blake ,CHI ,QB,8,9,88.9,4.5,55,6.1,27.5,1,0,4,44.4,17,0,0,0,129.2
73,LaDainian Tomlinson ,SD ,RB,3,4,75.0,0.2,47,11.8,2.9,3,0,3,75.0,26T ,1,0,0,153.1
74,Doug Flutie ,NE ,QB,5,10,50.0,2.0,29,2.9,5.8,0,0,3,30.0,13,0,0,1,56.2
75,Arnaz Battle ,SF ,WR,2,2,100.0,0.2,27,13.5,2.7,0,0,1,50.0,24,1,0,0,118.8
76,Craig Hentrich ,TEN ,P,1,2,50.0,0.1,26,13.0,1.6,0,0,1,50.0,26,1,0,0,95.8
77,Brad Maynard ,CHI ,P,1,2,50.0,0.1,18,9.0,1.1,0,0,1,50.0,18,0,0,0,81.2
78,Kliff Kingsbury ,NYJ ,QB,1,2,50.0,2.0,17,8.5,17.0,0,0,0,0.0,17,0,0,0,79.2
78,Clinton Portis ,WAS ,RB,1,2,50.0,0.1,17,8.5,1.1,1,0,1,50.0,17T ,0,0,0,118.8
80,Tony Fisher ,GB ,RB,1,1,100.0,0.1,14,14.0,1.0,0,0,1,100.0,14,0,0,0,118.8
81,Matt Jones ,JAC ,WR,2,3,66.7,0.2,12,4.0,0.8,0,0,0,0.0,6,0,0,0,74.3
82,Bradlee Van Pelt ,DEN ,QB,2,8,25.0,2.7,7,0.9,2.3,0,0,0,0.0,5,0,0,0,39.6
83,B.J. Sander ,GB ,P,1,1,100.0,0.1,4,4.0,0.3,0,0,0,0.0,4,0,0,0,83.3
84,Roscoe Parrish ,BUF ,WR,1,1,100.0,0.1,3,3.0,0.3,0,0,0,0.0,3,0,0,0,79.2
85,Marion Barber ,DAL ,RB,0,0,-- ,0.0,0,-- ,0.0,0,0,0,-- ,-- ,0,0,1,0.0
85,Tiki Barber ,NYG ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Drew Bennett ,TEN ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Anquan Boldin ,ARI ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Marty Booker ,MIA ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Mark Clayton ,BAL ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
