51. Matt Moore,MIA,2,11,19,131,1,0,5,-3,0,10.3,5.1
 52. Colt McCoy,CLE,2,9,17,79,1,0,4,15,0,9.5,4.7
 53. Kyle Orton,DAL,1,9,10,89,1,0,0,0,0,8.5,8.5
 54. T.J. Yates,HOU,3,4,10,38,0,1,2,-1,1,7.8,2.6
 55. Matt Leinart,OAK,2,16,33,115,0,1,0,0,0,5.8,2.9
 56. Bruce Gradkowski,CIN,2,5,11,65,0,0,4,-2,0,3.1,1.5
 57. Derek Anderson,CAR,2,4,4,58,0,0,0,0,0,2.9,1.5
 58. Matt Flynn,SEA,2,5,9,68,0,0,4,-5,0,2.9,1.5
 59. Dan Orlovsky,TB,1,4,7,51,0,0,0,0,0,2.6,2.6
 60. Kellen Clemens,STL,2,1,3,39,0,1,2,5,0,2.5,1.2
 61. Chase Daniel,NO,1,1,1,10,0,0,3,19,0,2.4,2.4
 62. Rusty Smith,TEN,1,3,5,34,0,0,0,0,0,1.7,1.7
 63. Tyler Thigpen,BUF,2,3,5,30,0,0,1,-1,0,1.4,0.7
 64. Trent Edwards,PHI,1,2,2,14,0,0,0,0,0,0.7,0.7
 65. David Carr,NYG,2,2,3,19,0,0,3,-3,0,0.7,0.3
 66. Josh Johnson,CLE,1,0,0,0,0,0,0,0,0,0.0,0.0
 67. Ryan Mallett,NE,3,1,4,17,0,1,8,-9,0,-0.1,0.0
 68. Luke McCown,ATL,1,0,0,0,0,0,2,-3,0,-0.3,-0.3
 69. Brock Osweiler,DEN,5,2,4,12,0,0,8,-13,0,-0.7,-0.1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
