Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
1,Drew Brees ,NO ,QB,468,657,71.2,41.1,"5,476",8.3,342.2,46,14,278,42.3,79T ,69,11,24,110.6
2,Tom Brady ,NE ,QB,401,611,65.6,38.2,"5,235",8.6,327.2,39,12,261,42.7,99T ,71,14,32,105.6
3,Matthew Stafford ,DET ,QB,421,663,63.5,41.4,"5,038",7.6,314.9,41,16,243,36.7,73T ,64,16,36,97.2
4,Eli Manning ,NYG ,QB,359,589,61.0,36.8,"4,933",8.4,308.3,29,16,216,36.7,99T ,67,18,28,92.9
5,Aaron Rodgers ,GB ,QB,343,502,68.3,33.5,"4,643",9.2,309.5,45,6,208,41.4,93T ,64,13,36,122.5
6,Philip Rivers ,SD ,QB,366,582,62.9,36.4,"4,624",7.9,289.0,27,20,234,40.2,58,69,8,30,88.7
7,Tony Romo ,DAL ,QB,346,522,66.3,32.6,"4,184",8.0,261.5,31,10,203,38.9,77,56,11,36,102.5
8,Matt Ryan ,ATL ,QB,347,566,61.3,35.4,"4,177",7.4,261.1,29,12,205,36.2,80T ,55,10,26,92.2
9,Ben Roethlisberger ,PIT ,QB,324,513,63.2,34.2,"4,077",7.9,271.8,21,14,210,40.9,95T ,56,9,40,90.1
10,Cam Newton ,CAR ,QB,310,517,60.0,32.3,"4,051",7.8,253.2,21,17,173,33.5,91T ,65,9,35,84.5
11,Ryan Fitzpatrick ,BUF ,QB,353,569,62.0,35.6,"3,832",6.7,239.5,24,23,178,31.3,60T ,48,8,22,79.1
12,Joe Flacco ,BAL ,QB,312,542,57.6,33.9,"3,610",6.7,225.6,20,12,179,33.0,74T ,44,7,31,80.9
13,Josh Freeman ,TB ,QB,346,551,62.8,36.7,"3,592",6.5,239.5,16,22,168,30.5,65T ,33,5,29,74.6
14,Matt Hasselbeck ,TEN ,QB,319,518,61.6,32.4,"3,571",6.9,223.2,18,14,163,31.5,80T ,43,10,19,82.4
15,Mark Sanchez ,NYJ ,QB,308,543,56.7,33.9,"3,474",6.4,217.1,26,18,171,31.5,74,39,2,39,78.2
16,Andy Dalton ,CIN ,QB,300,516,58.1,32.2,"3,398",6.6,212.4,20,13,156,30.2,84,48,10,24,80.4
17,Michael Vick ,PHI ,QB,253,423,59.8,32.5,"3,303",7.8,254.1,18,14,155,36.6,73,50,6,23,84.9
18,Rex Grossman ,WAS ,QB,265,458,57.9,35.2,"3,151",6.9,242.4,16,20,159,34.7,51,48,6,25,72.4
19,Alex Smith ,SF ,QB,273,445,61.3,27.8,"3,144",7.1,196.5,17,5,147,33.0,56T ,41,6,44,90.7
20,Tarvaris Jackson ,SEA ,QB,271,450,60.2,30.0,"3,091",6.9,206.1,14,13,138,30.7,61T ,45,8,42,79.2
21,Carson Palmer ,OAK ,QB,199,328,60.7,32.8,"2,753",8.4,275.3,13,16,122,37.2,78,43,11,17,80.5
22,Colt McCoy ,CLE ,QB,265,463,57.2,35.6,"2,733",5.9,210.2,14,11,144,31.1,56,26,5,32,74.6
23,Matt Moore ,MIA ,QB,210,347,60.5,26.7,"2,497",7.2,192.1,16,9,122,35.2,65T ,38,6,36,87.1
