Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Jake Delhomme ,CAR ,QB,55,86,64.0,28.7,624,7.3,208.0,8,1,27,31.4,74T ,5,2,5,111.8
52,John Beck ,MIA ,QB,60,107,56.1,21.4,559,5.2,111.8,1,3,24,22.4,22T ,8,0,10,62.0
53,Kerry Collins ,TEN ,QB,50,82,61.0,13.7,531,6.5,88.5,0,0,30,36.6,46,4,2,5,79.9
54,Kelly Holcomb ,MIN ,QB,42,83,50.6,27.7,515,6.2,171.7,2,1,23,27.7,40,5,1,12,73.1
55,Shaun Hill ,SF ,QB,54,79,68.4,26.3,501,6.3,167.0,5,1,26,32.9,26,3,0,6,101.3
56,Kyle Orton ,CHI ,QB,43,80,53.8,26.7,478,6.0,159.3,3,2,19,23.8,55T ,3,1,2,73.9
57,Troy Smith ,BAL ,QB,40,76,52.6,19.0,452,5.9,113.0,2,0,25,32.9,79T ,1,1,4,79.5
58,Brooks Bollinger ,MIN ,QB,33,50,66.0,10.0,391,7.8,78.2,1,1,18,36.0,50,3,2,7,88.0
59,JaMarcus Russell ,OAK ,QB,36,66,54.5,16.5,373,5.7,93.2,2,4,17,25.8,32T ,2,0,6,55.9
60,Byron Leftwich ,ATL ,QB,32,58,55.2,19.3,279,4.8,93.0,1,2,13,22.4,23,2,0,6,59.5
61,Patrick Ramsey ,DEN ,QB,29,48,60.4,24.0,262,5.5,131.0,1,1,12,25.0,21,1,0,3,73.4
62,Charlie Batch ,PIT ,QB,17,36,47.2,5.1,232,6.4,33.1,2,3,10,27.8,59T ,3,1,0,52.1
63,Aaron Rodgers ,GB ,QB,20,28,71.4,14.0,218,7.8,109.0,1,0,9,32.1,43,2,1,3,106.0
64,Seneca Wallace ,SEA ,QB,19,28,67.9,2.8,215,7.7,21.5,2,1,7,25.0,45T ,3,1,3,99.6
65,Tim Rattay ,ARI ,QB,15,27,55.6,6.8,164,6.1,41.0,3,3,10,37.0,42,2,1,0,71.1
66,Brock Berlin ,STL ,QB,17,28,60.7,28.0,153,5.5,153.0,0,1,8,28.6,23,1,0,0,60.6
67,J.T. O'Sullivan ,DET ,QB,13,26,50.0,6.5,148,5.7,37.0,1,2,7,26.9,42,2,1,3,48.2
68,Jim Sorgi ,IND ,QB,18,36,50.0,9.0,132,3.7,33.0,1,0,7,19.4,12,0,0,2,68.3
69,Bruce Gradkowski ,TB ,QB,13,24,54.2,6.0,130,5.4,32.5,0,1,5,20.8,20,1,0,2,52.4
70,Chris Weinke ,SF ,QB,13,22,59.1,11.0,104,4.7,52.0,1,0,5,22.7,21,1,0,5,86.2
71,Sidney Rice ,MIN ,WR,2,2,100.0,0.2,94,47.0,7.2,0,0,2,100.0,79,1,1,0,118.8
72,Craig Nall ,GB ,QB,7,15,46.7,15.0,88,5.9,88.0,1,0,4,26.7,32T ,1,0,1,87.6
73,Brad Johnson ,DAL ,QB,7,11,63.6,0.7,79,7.2,4.9,0,0,2,18.2,35,1,0,1,85.0
74,Brady Quinn ,CLE ,QB,3,8,37.5,8.0,45,5.6,45.0,0,0,3,37.5,18,0,0,0,56.8
75,Tyler Thigpen ,KC ,QB,2,6,33.3,6.0,41,6.8,41.0,0,1,2,33.3,22,1,0,1,18.7
