Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Cleo Lemon ,MIA ,QB,38,68,55.9,17.0,412,6.1,103.0,2,1,23,33.8,38,5,0,5,77.6
52,A.J. Feeley ,PHI ,QB,26,38,68.4,19.0,342,9.0,171.0,3,0,15,39.5,89T ,3,1,1,122.9
53,Sage Rosenfels ,HOU ,QB,27,39,69.2,9.8,265,6.8,66.2,3,1,15,38.5,28,4,0,1,103.0
54,Brian Griese ,CHI ,QB,18,32,56.3,5.3,220,6.9,36.7,1,2,10,31.3,75T ,2,1,3,62.0
55,Jamie Martin ,NO ,QB,16,24,66.7,1.5,208,8.7,13.0,1,1,6,25.0,65,4,2,5,90.3
55,Matt Schaub ,ATL ,QB,18,27,66.7,1.7,208,7.7,13.0,1,2,10,37.0,47,3,1,2,71.2
57,Quinn Gray ,JAC ,QB,13,22,59.1,11.0,166,7.5,83.0,0,0,8,36.4,32,2,0,1,82.8
58,Brooks Bollinger ,MIN ,QB,13,18,72.2,9.0,146,8.1,73.0,0,1,7,38.9,50,1,1,6,72.9
59,Antwaan Randle El ,WAS ,WR,2,3,66.7,0.2,88,29.3,5.5,1,0,2,66.7,48T ,2,2,0,149.3
60,Marques Tuiasosopo ,OAK ,QB,6,13,46.2,6.5,68,5.2,34.0,1,2,4,30.8,29,1,0,0,48.4
61,Brett Basanez ,CAR ,QB,6,11,54.5,11.0,56,5.1,56.0,0,1,4,36.4,18,0,0,0,30.9
62,Aaron Rodgers ,GB ,QB,6,15,40.0,7.5,46,3.1,23.0,0,0,2,13.3,16,0,0,3,48.2
63,Brad Maynard ,CHI ,P,1,1,100.0,0.1,37,37.0,2.3,0,0,1,100.0,37,1,0,0,118.8
64,Matt Cassel ,NE ,QB,5,8,62.5,1.3,32,4.0,5.3,0,0,3,37.5,10,0,0,3,70.8
65,Anthony Wright ,CIN ,QB,3,3,100.0,0.8,31,10.3,7.8,0,0,1,33.3,22,1,0,0,109.7
66,Vinny Testaverde ,NE ,QB,2,3,66.7,1.0,29,9.7,9.7,1,0,2,66.7,23,1,0,0,137.5
67,Gus Frerotte ,STL ,QB,1,3,33.3,3.0,27,9.0,27.0,0,0,1,33.3,27,1,0,0,67.4
68,Brodie Croyle ,KC ,QB,3,7,42.9,3.5,23,3.3,11.5,0,2,2,28.6,11,0,0,1,11.9
69,Cedrick Wilson ,PIT ,WR,1,1,100.0,0.1,21,21.0,1.4,0,0,1,100.0,21,1,0,0,118.8
70,LaDainian Tomlinson ,SD ,RB,2,3,66.7,0.2,20,6.7,1.2,2,0,2,66.7,19T ,0,0,0,125.0
71,Ryan Longwell ,MIN ,K,1,1,100.0,0.1,16,16.0,1.0,1,0,1,100.0,16T ,0,0,0,158.3
71,Jon Ryan ,GB ,P,1,1,100.0,0.1,16,16.0,1.0,0,0,1,100.0,16,0,0,0,118.8
73,Mewelde Moore ,MIN ,RB,1,1,100.0,0.1,15,15.0,0.9,1,0,1,100.0,15T ,0,0,0,158.3
74,David Akers ,PHI ,K,1,1,100.0,0.1,11,11.0,0.7,0,0,0,0.0,11,0,0,0,112.5
75,Billy Volek ,SD ,QB,1,2,50.0,2.0,4,2.0,4.0,0,0,0,0.0,4,0,0,1,56.2
76,Joseph Addai ,IND ,RB,0,0,-- ,0.0,0,-- ,0.0,0,0,0,-- ,-- ,0,0,1,0.0
76,Hank Baskett ,PHI ,WR,0,1,0.0,0.1,0,0.0,0.0,0,1,0,0.0,0,0,0,0,0.0
76,Arnaz Battle ,SF ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Deion Branch ,SEA ,WR,0,0,-- ,0.0,0,-- ,0.0,0,0,0,-- ,-- ,0,0,1,0.0
76,Ronnie Brown ,MIA ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Isaac Bruce ,STL ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Reggie Bush ,NO ,RB,0,1,0.0,0.1,0,0.0,0.0,0,1,0,0.0,0,0,0,0,0.0
76,Mark Clayton ,BAL ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Kellen Clemens ,NYJ ,QB,0,1,0.0,0.5,0,0.0,0.0,0,0,0,0.0,0,0,0,4,39.6
76,Josh Cribbs ,CLE ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Ronald Curry ,OAK ,WR,0,2,0.0,0.1,0,0.0,0.0,0,1,0,0.0,0,0,0,0,0.0
76,Ken Dorsey ,CLE ,QB,0,1,0.0,1.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,39.6
76,Lee Evans ,BUF ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Jeff Feagles ,NYG ,P,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Ben Graham ,NYJ ,P,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Carlyle Holiday ,GB ,WR,0,1,0.0,0.2,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
76,Joe Horn ,NO ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
