Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
1,Tom Brady ,NE ,QB,398,578,68.9,36.1,"4,806",8.3,300.4,50,8,240,41.5,69T ,56,15,21,117.2
2,Drew Brees ,NO ,QB,440,652,67.5,40.8,"4,423",6.8,276.4,28,18,232,35.6,58,47,8,16,89.4
3,Tony Romo ,DAL ,QB,335,520,64.4,32.5,"4,211",8.1,263.2,36,19,215,41.3,59T ,55,11,24,97.4
4,Brett Favre ,GB ,QB,356,535,66.5,33.4,"4,155",7.8,259.7,28,15,197,36.8,82T ,49,16,15,95.7
5,Carson Palmer ,CIN ,QB,373,575,64.9,35.9,"4,131",7.2,258.2,26,20,213,37.0,70T ,51,8,17,86.7
6,Jon Kitna ,DET ,QB,355,561,63.3,35.1,"4,068",7.3,254.2,18,20,196,34.9,91T ,45,7,51,80.9
7,Peyton Manning ,IND ,QB,337,515,65.4,32.2,"4,040",7.8,252.5,31,14,205,39.8,73T ,53,9,21,98.0
8,Matt Hasselbeck ,SEA ,QB,352,562,62.6,35.1,"3,966",7.1,247.9,28,12,204,36.3,65,48,7,33,91.4
9,Derek Anderson ,CLE ,QB,298,527,56.5,32.9,"3,787",7.2,236.7,29,19,187,35.5,78T ,53,6,14,82.5
10,Jay Cutler ,DEN ,QB,297,467,63.6,29.2,"3,497",7.5,218.6,20,14,175,37.5,68T ,41,7,27,88.1
11,Kurt Warner ,ARI ,QB,281,451,62.3,32.2,"3,417",7.6,244.1,27,17,167,37.0,62,44,5,20,89.8
12,Eli Manning ,NYG ,QB,297,529,56.1,33.1,"3,336",6.3,208.5,23,20,165,31.2,60T ,36,6,27,73.9
13,Donovan McNabb ,PHI ,QB,291,473,61.5,33.8,"3,324",7.0,237.4,19,7,152,32.1,75T ,35,10,44,89.9
14,Ben Roethlisberger ,PIT ,QB,264,404,65.3,26.9,"3,154",7.8,210.3,32,11,168,41.6,83,39,6,47,104.1
15,Philip Rivers ,SD ,QB,277,460,60.2,28.8,"3,152",6.9,197.0,21,15,157,34.1,49T ,44,4,22,82.4
