Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
16,Jason Campbell ,WAS ,QB,250,417,60.0,32.1,"2,700",6.5,207.7,12,11,148,35.5,54,30,4,21,77.6
17,Vince Young ,TEN ,QB,238,382,62.3,25.5,"2,546",6.7,169.7,9,17,141,36.9,73,24,5,25,71.1
18,David Garrard ,JAC ,QB,208,325,64.0,27.1,"2,509",7.7,209.1,18,3,126,38.8,59T ,34,5,21,102.2
19,Jeff Garcia ,TB ,QB,209,327,63.9,25.2,"2,440",7.5,187.7,13,4,112,34.3,69T ,29,8,19,94.6
20,Marc Bulger ,STL ,QB,221,378,58.5,31.5,"2,392",6.3,199.3,11,15,129,34.1,40,29,1,37,70.3
21,Damon Huard ,KC ,QB,206,332,62.0,30.2,"2,257",6.8,205.2,11,13,111,33.4,58,30,2,36,76.8
22,Matt Schaub ,HOU ,QB,192,289,66.4,26.3,"2,241",7.8,203.7,9,9,97,33.6,77T ,23,6,16,87.2
23,Joey Harrington ,ATL ,QB,215,348,61.8,29.0,"2,215",6.4,184.6,7,8,100,28.7,69T ,26,2,32,77.2
24,Tarvaris Jackson ,MIN ,QB,171,294,58.2,24.5,"1,911",6.5,159.2,9,12,95,32.3,71,15,4,19,70.8
25,Brian Griese ,CHI ,QB,161,262,61.5,37.4,"1,803",6.9,257.6,10,12,82,31.3,81T ,21,2,15,75.6
26,Cleo Lemon ,MIA ,QB,173,309,56.0,34.3,"1,773",5.7,197.0,6,6,87,28.2,64T ,19,2,25,71.0
27,Chad Pennington ,NYJ ,QB,179,260,68.8,28.9,"1,765",6.8,196.1,10,9,90,34.6,57T ,19,3,26,86.1
28,Kyle Boller ,BAL ,QB,168,275,61.1,22.9,"1,743",6.3,145.2,9,10,90,32.7,53,19,4,24,75.2
29,Sage Rosenfels ,HOU ,QB,154,240,64.2,26.7,"1,684",7.0,187.1,15,12,93,38.8,53T ,17,4,6,84.8
30,Trent Edwards ,BUF ,QB,151,269,56.1,26.9,"1,630",6.1,163.0,7,8,81,30.1,70T ,21,4,12,70.4
31,Kellen Clemens ,NYJ ,QB,130,250,52.0,25.0,"1,529",6.1,152.9,5,10,82,32.8,56,18,4,27,60.9
32,Rex Grossman ,CHI ,QB,122,225,54.2,28.1,"1,411",6.3,176.4,4,7,66,29.3,59T ,20,5,25,66.4
33,Daunte Culpepper ,OAK ,QB,108,186,58.1,26.6,"1,331",7.2,190.1,5,5,60,32.3,59,17,3,21,78.0
34,Brodie Croyle ,KC ,QB,127,224,56.7,24.9,"1,227",5.5,136.3,6,6,58,25.9,35,9,0,17,69.9
35,J.P. Losman ,BUF ,QB,111,175,63.4,21.9,"1,204",6.9,150.5,4,6,59,33.7,85T ,12,2,14,76.9
36,Trent Dilfer ,SF ,QB,113,219,51.6,31.3,"1,166",5.3,166.6,7,12,62,28.3,57T ,15,3,27,55.1
37,Josh McCown ,OAK ,QB,111,190,58.4,21.1,"1,151",6.1,127.9,10,11,54,28.4,46T ,12,3,14,69.4
38,Steve McNair ,BAL ,QB,133,205,64.9,34.2,"1,113",5.4,185.5,2,4,60,29.3,30,3,0,11,73.9
39,Chris Redman ,ATL ,QB,89,149,59.7,21.3,"1,079",7.2,154.1,10,5,48,32.2,74T ,14,4,9,90.4
40,Gus Frerotte ,STL ,QB,94,167,56.3,20.9,"1,014",6.1,126.8,7,12,55,32.9,38,12,0,11,58.3
41,Luke McCown ,TB ,QB,94,139,67.6,27.8,"1,009",7.3,201.8,5,3,45,32.4,60,11,3,15,91.7
42,Trent Green ,MIA ,QB,85,141,60.3,28.2,987,7.0,197.4,5,7,51,36.2,43,14,1,7,72.6
43,Quinn Gray ,JAC ,QB,80,144,55.6,18.0,986,6.8,123.2,10,5,54,37.5,80T ,10,3,10,85.6
44,Vinny Testaverde ,CAR ,QB,94,172,54.7,24.6,952,5.5,136.0,5,6,46,26.7,65T ,12,3,9,65.8
45,Alex Smith ,SF ,QB,94,193,48.7,27.6,914,4.7,130.6,2,4,47,24.4,45,11,1,17,57.2
46,Todd Collins ,WAS ,QB,67,105,63.8,26.2,888,8.5,222.0,5,0,42,40.0,54,13,2,7,106.4
47,Matt Moore ,CAR ,QB,63,111,56.8,12.3,730,6.6,81.1,3,5,37,33.3,57,7,4,6,67.0
48,A.J. Feeley ,PHI ,QB,59,103,57.3,34.3,681,6.6,227.0,5,8,34,33.0,47,8,1,3,61.2
49,Matt Leinart ,ARI ,QB,60,112,53.6,22.4,647,5.8,129.4,2,4,33,29.5,40,6,1,4,61.9
50,David Carr ,CAR ,QB,73,136,53.7,22.7,635,4.7,105.8,3,5,32,23.5,38,4,0,13,58.3
