Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Jimmy Clausen ,CHI ,QB,26,48,54.2,12.0,223,4.6,55.8,2,1,13,27.1,22,2,0,3,71.8
52,Christian Ponder ,MIN ,QB,22,44,50.0,22.0,222,5.0,111.0,0,2,13,29.5,18,0,0,6,45.8
53,Jimmy Garoppolo ,NE ,QB,19,27,70.4,4.5,182,6.7,30.3,1,0,8,29.6,37,2,0,5,101.2
54,Connor Shaw ,CLE ,QB,14,28,50.0,28.0,177,6.3,177.0,0,1,10,35.7,49,2,1,4,55.2
55,Johnny Manziel ,CLE ,QB,18,35,51.4,7.0,175,5.0,35.0,0,2,6,17.1,32,3,0,3,42.0
56,Chase Daniel ,KC ,QB,16,28,57.1,9.3,157,5.6,52.3,0,0,8,28.6,30,3,0,4,73.1
57,Matt McGloin ,OAK ,QB,12,19,63.2,19.0,129,6.8,129.0,1,2,6,31.6,29,2,0,1,61.0
58,Tom Savage ,HOU ,QB,10,19,52.6,9.5,127,6.7,63.5,0,1,6,31.6,35,2,0,1,51.9
59,Logan Thomas ,ARI ,QB,1,9,11.1,4.5,81,9.0,40.5,1,0,1,11.1,81T ,1,1,2,101.6
60,Mohamed Sanu ,CIN ,WR,3,3,100.0,0.2,79,26.3,4.9,1,0,3,100.0,50,1,1,1,158.3
61,Jason Campbell ,CIN ,QB,11,19,57.9,4.8,74,3.9,18.5,0,0,3,15.8,38,1,0,1,66.6
62,Matt Flynn ,GB ,QB,8,16,50.0,2.3,66,4.1,9.4,0,1,3,18.8,14,0,0,2,34.9
63,T.J. Yates ,ATL ,QB,3,4,75.0,4.0,64,16.0,64.0,0,1,3,75.0,40,1,1,0,77.1
64,Ryan Nassib ,NYG ,QB,4,5,80.0,1.2,60,12.0,15.0,0,0,2,40.0,29,1,0,2,116.7
65,Matt Schaub ,OAK ,QB,5,10,50.0,0.9,57,5.7,5.2,0,2,4,40.0,16,0,0,3,27.9
66,Brock Osweiler ,DEN ,QB,4,10,40.0,2.5,52,5.2,13.0,1,0,2,20.0,38,1,0,0,90.4
67,Matt Simms ,NYJ ,QB,3,8,37.5,8.0,39,4.9,39.0,0,0,2,25.0,21,1,0,0,53.6
68,Blaine Gabbert ,SF ,QB,3,7,42.9,7.0,38,5.4,38.0,1,0,2,28.6,20T ,1,0,0,100.0
68,Ryan Quigley ,NYJ ,P,1,1,100.0,0.1,38,38.0,2.4,0,0,1,100.0,38,1,0,0,118.8
70,Johnny Hekker ,STL ,P,2,2,100.0,0.1,37,18.5,2.3,0,0,2,100.0,19,0,0,0,118.8
71,Cecil Shorts ,JAC ,WR,2,2,100.0,0.2,32,16.0,2.5,1,0,2,100.0,23T ,1,0,0,158.3
72,Sam Martin ,DET ,P,2,2,100.0,0.1,27,13.5,1.7,0,0,1,50.0,24,1,0,0,118.8
73,Robert Golden ,PIT ,SAF,1,1,100.0,0.1,25,25.0,1.6,0,0,1,100.0,25,1,0,0,118.8
74,Matt Moore ,MIA ,QB,2,4,50.0,2.0,21,5.3,10.5,0,0,2,50.0,14,0,0,0,65.6
75,Antonio Brown ,PIT ,WR,2,2,100.0,0.1,20,10.0,1.2,1,0,2,100.0,17,0,0,0,147.9
76,Bryan Anger ,JAC ,P,1,1,100.0,0.1,19,19.0,1.2,0,0,1,100.0,19,0,0,0,118.8
77,Jermaine Kearse ,SEA ,WR,1,1,100.0,0.1,17,17.0,1.1,0,0,1,100.0,17,0,0,0,118.8
78,Kellen Clemens ,SD ,QB,1,3,33.3,1.5,10,3.3,5.0,0,0,1,33.3,10,0,0,1,43.8
78,Ted Ginn ,ARI ,WR,1,1,100.0,0.1,10,10.0,0.6,0,0,1,100.0,10,0,0,0,108.3
78,Shane Lechler ,HOU ,P,1,1,100.0,0.1,10,10.0,0.6,0,0,1,100.0,10,0,0,0,108.3
81,Jordan Palmer ,TEN ,QB,1,3,33.3,3.0,7,2.3,7.0,0,0,0,0.0,7,0,0,0,42.4
82,Dustin Colquitt ,KC ,P,1,1,100.0,0.1,6,6.0,0.4,0,0,1,100.0,6,0,0,0,91.7
83,Arian Foster ,HOU ,RB,1,1,100.0,0.1,5,5.0,0.4,1,0,1,100.0,5T ,0,0,0,127.1
84,Matt Barkley ,PHI ,QB,0,1,0.0,1.0,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Odell Beckham ,NYG ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Anquan Boldin ,SF ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Pierre Garcon ,WAS ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Josh Gordon ,CLE ,WR,0,1,0.0,0.2,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Marion Grice ,ARI ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Fred Jackson ,BUF ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Tarvaris Jackson ,SEA ,QB,1,1,100.0,1.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,79.2
84,Jeremy Kerley ,NYJ ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Andy Lee ,SF ,P,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Pat McAfee ,IND ,P,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Darren McFadden ,OAK ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Thomas Morstead ,NO ,P,0,0,-- ,0.0,0,-- ,0.0,0,0,0,-- ,-- ,0,0,1,0.0
84,Bobby Rainey ,TB ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Denard Robinson ,JAC ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Mike Wallace ,MIA ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
84,Eric Weddle ,SD ,FS,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,-- ,0,0,0,39.6
