Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Billy Volek ,SD ,QB,20,31,64.5,7.8,231,7.5,57.8,1,1,13,41.9,50,2,1,1,84.2
52,Brodie Croyle ,KC ,QB,23,40,57.5,13.3,230,5.8,76.7,2,0,10,25.0,50,3,1,3,90.6
53,David Carr ,NYG ,QB,21,33,63.6,5.5,225,6.8,37.5,1,0,11,33.3,37T ,2,0,2,93.6
54,Tarvaris Jackson ,MIN ,QB,14,21,66.7,2.6,201,9.6,25.1,1,0,9,42.9,34T ,3,0,0,113.4
55,Brian Brohm ,BUF ,QB,17,29,58.6,14.5,146,5.0,73.0,0,2,8,27.6,15,0,0,2,43.2
56,Dennis Dixon ,PIT ,QB,12,26,46.2,26.0,145,5.6,145.0,1,1,6,23.1,33T ,3,0,0,60.6
57,Todd Collins ,WAS ,QB,12,23,52.2,7.7,144,6.3,48.0,0,0,4,17.4,46,2,2,2,71.6
58,Brian Hoyer ,NE ,QB,19,27,70.4,5.4,142,5.3,28.4,0,0,8,29.6,17,0,0,2,82.6
59,Kellen Clemens ,NYJ ,QB,13,26,50.0,2.6,125,4.8,12.5,0,0,7,26.9,26,2,0,4,63.8
60,Mark Brunell ,NO ,QB,15,30,50.0,1.9,102,3.4,6.4,0,1,5,16.7,18,0,0,0,44.0
61,Michael Vick ,PHI ,QB,6,13,46.2,1.1,86,6.6,7.2,1,0,3,23.1,43,2,1,0,93.8
62,Curtis Painter ,IND ,QB,8,28,28.6,14.0,83,3.0,41.5,0,2,3,10.7,22,2,0,3,9.8
62,Tyler Thigpen ,MIA ,QB,4,8,50.0,8.0,83,10.4,83.0,1,2,3,37.5,34T ,2,0,0,87.0
64,Matt Flynn ,GB ,QB,7,12,58.3,0.8,58,4.8,3.9,0,1,4,33.3,17,0,0,1,36.1
65,Jon Ryan ,SEA ,P,1,1,100.0,0.1,42,42.0,2.6,0,0,1,100.0,42,1,1,0,118.8
66,J.T. O'Sullivan ,CIN ,QB,4,11,36.4,3.7,40,3.6,13.3,0,0,1,9.1,16,0,0,3,47.5
67,Josh Brown ,STL ,K,1,1,100.0,0.1,36,36.0,2.2,1,0,1,100.0,36T ,1,0,0,158.3
68,Hunter Smith ,WAS ,P,1,2,50.0,0.2,35,17.5,2.7,1,1,1,50.0,35T ,1,0,0,95.8
69,Rex Grossman ,HOU ,QB,3,9,33.3,9.0,33,3.7,33.0,0,1,1,11.1,21,1,0,0,5.6
70,Fred Jackson ,BUF ,RB,1,1,100.0,0.1,27,27.0,1.7,1,0,1,100.0,27T ,1,0,0,158.3
70,Brad Smith ,NYJ ,WR,1,1,100.0,0.1,27,27.0,2.1,0,0,1,100.0,27,1,0,0,118.8
72,Brian Moorman ,BUF ,P,1,1,100.0,0.1,25,25.0,1.6,1,0,1,100.0,25T ,1,0,0,158.3
73,Troy Smith ,BAL ,QB,5,9,55.6,2.2,24,2.7,6.0,0,1,1,11.1,9,0,0,0,21.3
74,Chris Simms ,DEN ,QB,5,17,29.4,5.7,23,1.4,7.7,0,1,1,5.9,7,0,0,5,15.1
75,Joseph Addai ,IND ,RB,1,1,100.0,0.1,22,22.0,1.5,1,0,1,100.0,22T ,1,0,0,158.3
