Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Charlie Batch ,PIT ,QB,29,49,59.2,16.3,352,7.2,117.3,3,3,13,26.5,46T ,5,2,4,76.2
52,Tarvaris Jackson ,MIN ,QB,34,58,58.6,19.3,341,5.9,113.7,3,4,18,31.0,46,5,1,6,63.9
53,Trent Edwards ,JAC ,QB,26,49,53.1,16.3,280,5.7,93.3,1,3,13,26.5,44,3,1,4,51.4
54,Dennis Dixon ,PIT ,QB,22,32,68.8,16.0,254,7.9,127.0,0,1,8,25.0,52,4,1,5,79.4
55,Stephen McGee ,DAL ,QB,22,44,50.0,22.0,238,5.4,119.0,2,0,9,20.5,37T ,4,0,3,81.4
56,Todd Bouman ,JAC ,QB,18,34,52.9,34.0,222,6.5,222.0,2,2,12,35.3,29,4,0,1,68.5
57,Rusty Smith ,TEN ,QB,20,40,50.0,20.0,200,5.0,100.0,0,4,7,17.5,52,2,1,1,25.0
58,Brian St. Pierre ,CAR ,QB,13,28,46.4,28.0,173,6.2,173.0,1,2,3,10.7,88T ,2,1,3,48.7
59,Richard Bartel ,ARI ,QB,16,28,57.1,28.0,150,5.4,150.0,0,1,7,25.0,31,1,0,2,57.1
60,Brian Hoyer ,NE ,QB,7,15,46.7,3.0,122,8.1,24.4,1,1,7,46.7,42T ,1,1,0,69.3
61,Luke McCown ,JAC ,QB,11,19,57.9,19.0,120,6.3,120.0,0,0,6,31.6,25,1,0,0,76.6
62,Mark Brunell ,NYJ ,QB,7,13,53.8,6.5,117,9.0,58.5,2,1,7,53.8,52T ,1,1,1,92.0
63,Josh Johnson ,TB ,QB,14,16,87.5,1.5,111,6.9,10.1,0,0,5,31.3,22,1,0,2,95.6
64,Brian Brohm ,BUF ,QB,10,23,43.5,23.0,106,4.6,106.0,0,3,4,17.4,33,1,0,3,17.9
65,Todd Collins ,CHI ,QB,10,27,37.0,13.5,68,2.5,34.0,0,5,2,7.4,19,0,0,2,5.9
66,David Carr ,SF ,QB,5,13,38.5,13.0,67,5.2,67.0,0,1,3,23.1,22,1,0,1,23.6
67,Caleb Hanie ,CHI ,QB,5,7,71.4,3.5,55,7.9,27.5,0,0,2,28.6,26,1,0,2,94.3
68,Tony Pike ,CAR ,QB,6,12,50.0,12.0,47,3.9,47.0,0,0,2,16.7,22,1,0,1,60.1
69,Byron Leftwich ,PIT ,QB,5,7,71.4,7.0,42,6.0,42.0,0,0,3,42.9,14,0,0,2,86.6
69,Antwaan Randle El ,PIT ,WR,2,2,100.0,0.1,42,21.0,2.6,2,0,2,100.0,39T ,1,0,0,158.3
71,Brodie Croyle ,KC ,QB,8,19,42.1,9.5,38,2.0,19.0,0,1,2,10.5,16,0,0,4,27.7
72,Tyler Palko ,KC ,QB,4,6,66.7,3.0,35,5.8,17.5,0,0,2,33.3,18,0,0,2,81.9
73,Mohamed Massaquoi ,CLE ,WR,1,1,100.0,0.1,29,29.0,1.9,1,0,1,100.0,29T ,1,0,0,158.3
74,Michael Robinson ,SEA ,FB,1,1,100.0,0.1,28,28.0,2.5,0,0,1,100.0,28,1,0,0,118.8
74,Mike Scifres ,SD ,P,1,1,100.0,0.1,28,28.0,1.8,0,0,1,100.0,28,1,0,0,118.8
76,Kyle Boller ,OAK ,QB,2,4,50.0,0.8,25,6.3,5.0,0,1,1,25.0,20,1,0,1,30.2
77,Levi Brown ,BUF ,QB,2,3,66.7,3.0,24,8.0,24.0,0,1,1,33.3,16,0,0,0,51.4
78,Chris Redman ,ATL ,QB,4,6,66.7,3.0,20,3.3,10.0,0,0,1,16.7,14,0,0,0,71.5
