Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Andrew Walter ,OAK ,QB,22,49,44.9,24.5,204,4.2,102.0,0,3,11,22.4,28,1,0,5,31.3
52,Jim Sorgi ,IND ,QB,22,30,73.3,30.0,178,5.9,178.0,0,0,10,33.3,33,2,0,0,87.9
53,Brodie Croyle ,KC ,QB,20,29,69.0,14.5,151,5.2,75.5,0,0,7,24.1,22,2,0,1,81.3
54,Kevin Kolb ,PHI ,QB,17,34,50.0,5.7,144,4.2,24.0,0,4,8,23.5,16,0,0,0,21.8
55,Drew Stanton ,DET ,QB,9,17,52.9,5.7,119,7.0,39.7,1,0,6,35.3,41,2,1,6,95.0
56,David Carr ,NYG ,QB,9,12,75.0,4.0,115,9.6,38.3,2,0,7,58.3,27,2,0,1,144.1
57,Charlie Frye ,SEA ,QB,12,23,52.2,11.5,83,3.6,41.5,2,2,5,21.7,19,0,0,3,53.4
58,Troy Smith ,BAL ,QB,3,4,75.0,0.7,82,20.5,13.7,1,0,3,75.0,43,2,1,1,156.2
59,Tom Brady ,NE ,QB,7,11,63.6,11.0,76,6.9,76.0,0,0,3,27.3,26,1,0,0,83.9
59,Quinn Gray ,KC ,QB,7,8,87.5,8.0,76,9.5,76.0,1,0,5,62.5,26,1,0,0,145.8
61,Brooks Bollinger ,DAL ,QB,10,17,58.8,8.5,71,4.2,35.5,1,1,4,23.5,24,1,0,3,63.6
62,Chad Henne ,MIA ,QB,7,12,58.3,4.0,67,5.6,22.3,0,0,3,25.0,19,0,0,0,74.0
63,Antwaan Randle El ,WAS ,WR,3,4,75.0,0.2,46,11.5,2.9,1,0,3,75.0,18T ,0,0,0,152.1
64,Jason Witten ,DAL ,TE,1,1,100.0,0.1,42,42.0,2.6,0,0,1,100.0,42,1,1,0,118.8
65,Ronnie Brown ,MIA ,RB,2,3,66.7,0.2,41,13.7,2.6,1,0,1,33.3,22,1,0,1,149.3
65,Jordan Palmer ,CIN ,QB,7,12,58.3,4.0,41,3.4,13.7,0,2,4,33.3,13,0,0,2,25.3
67,Mark Bradley ,KC ,WR,1,1,100.0,0.1,37,37.0,3.7,1,0,1,100.0,37T ,1,0,0,158.3
68,Mark Clayton ,BAL ,WR,1,1,100.0,0.1,32,32.0,2.0,1,0,1,100.0,32T ,1,0,0,158.3
