,Kenbrell Thompkins ,NE ,69,71,12,5.88,0,0,0,69,32,466,4,0,0
,Terrelle Pryor ,OAK ,355,70,11,6.33,83,576,2,0,0,0,0,2,11
,Tiquan Underwood ,TB ,46,68,12,5.67,0,0,0,46,24,440,4,0,0
,Austin Pettis ,STL ,63,64,16,3.99,0,0,0,63,38,399,4,0,0
,Reggie Wayne ,IND ,56,63,7,8.97,1,5,0,55,38,503,2,0,0
,Jarius Wright ,MIN ,43,61,16,3.84,0,0,0,43,26,434,3,0,0
,Kris Durham ,DET ,85,61,16,3.81,0,0,0,85,38,490,2,1,0
,Santana Moss ,WAS ,82,60,16,3.73,3,25,0,79,42,452,2,2,0
,Justin Hunter ,TEN ,42,59,14,4.24,0,0,0,42,18,354,4,0,0
,Andre Roberts ,ARI ,76,59,16,3.69,0,0,0,76,43,471,2,0,0
,Mohamed Sanu ,CIN ,82,59,16,3.69,4,16,0,77,47,455,2,1,0
,Jermaine Kearse ,SEA ,38,59,15,3.91,0,0,0,38,22,346,4,1,0
,Greg Little ,CLE ,99,58,16,3.66,0,0,0,99,41,465,2,0,0
,Chris Givens ,STL ,86,58,16,3.61,3,8,0,83,34,569,0,1,0
,Lance Moore ,NO ,54,58,13,4.44,0,0,0,54,37,457,2,1,0
,Jacoby Jones ,BAL ,69,58,12,4.79,2,0,0,67,37,455,2,0,0
,Rishard Matthews ,MIA ,67,57,16,3.55,0,0,0,67,41,448,2,0,0
,Jason Avant ,PHI ,76,57,16,3.54,0,0,0,76,38,447,2,1,0
,Mike Brown ,JAC ,56,57,11,5.15,0,0,0,56,32,446,2,1,0
,Jerrel Jernigan ,NYG ,46,57,15,3.77,2,57,1,44,29,329,2,1,0
,Leonard Hankerson ,WAS ,50,56,10,5.55,0,0,0,50,30,375,3,0,0
,Ace Sanders ,JAC ,90,55,15,3.65,2,4,0,87,51,484,1,0,0
,David Nelson ,NYJ ,60,54,12,4.53,0,0,0,60,36,423,2,0,0
,Vincent Brown ,SD ,69,53,16,3.33,0,0,0,69,41,472,1,0,0
,Santonio Holmes ,NYJ ,59,52,11,4.69,0,0,0,59,23,456,1,0,0
,Nate Burleson ,DET ,57,51,9,5.70,2,-8,0,55,39,461,1,0,0
,Brandon Gibson ,MIA ,42,51,7,7.23,0,0,0,42,30,326,3,0,0
,T.J. Graham ,BUF ,62,50,16,3.09,4,14,0,58,23,361,2,1,0
,Andre Holmes ,OAK ,52,49,10,4.91,0,0,0,52,25,431,1,0,0
,Cole Beasley ,DAL ,54,49,14,3.49,0,0,0,54,39,368,2,0,0
,Earl Bennett ,CHI ,43,48,15,3.22,0,0,0,43,32,243,4,0,0
,Davone Bess ,CLE ,86,48,14,3.44,0,0,0,86,42,362,2,1,0
,Aldrick Robinson ,WAS ,49,48,16,3.01,3,-4,0,46,18,365,2,0,0
,Marquise Goodwin ,BUF ,35,48,12,3.97,3,13,0,32,17,283,3,1,0
,Justin Blackmon ,JAC ,49,47,4,11.85,1,-1,0,48,29,415,1,0,0
,Robert Meachem ,NO ,32,44,15,2.95,2,-1,0,30,16,324,2,0,0
,Brian Quick ,STL ,35,42,16,2.64,0,0,0,35,18,302,2,0,0
,Sidney Rice ,SEA ,35,41,8,5.14,0,0,0,35,15,231,3,1,0
,Stephen Hill ,NYJ ,59,40,12,3.35,0,0,0,59,24,342,1,1,0
,Darrius Heyward-Bey ,IND ,67,40,16,2.47,3,26,0,64,29,309,1,0,0
,Kevin Ogletree ,TB ,45,39,16,2.43,0,0,0,45,21,269,2,0,0
,Andre Caldwell ,DEN ,30,39,16,2.42,1,7,0,29,16,200,3,0,0
,Griff Whalen ,IND ,40,38,9,4.21,0,0,0,40,24,259,2,0,0
,Keshawn Martin ,HOU ,40,37,16,2.33,0,0,0,40,22,253,2,1,0
,Michael Crabtree ,SF ,33,34,5,6.88,0,0,0,33,19,284,1,0,0
,Mike Williams ,TB ,40,34,6,5.60,0,0,0,40,22,216,2,0,0
,Drew Davis ,ATL ,16,34,16,2.10,0,0,0,16,12,216,2,0,0
,Stedman Bailey ,STL ,27,32,16,1.99,2,33,1,25,17,226,0,0,0
,Da'Rick Rogers ,IND ,24,31,5,6.24,1,0,0,23,14,192,2,0,0
,Tandon Doss ,BAL ,36,30,15,2.03,0,0,0,36,19,305,0,1,0
,Kerry Taylor ,ARI ,34,29,10,2.89,0,0,0,34,22,229,1,0,0
,LaVon Brazill ,IND ,27,28,10,2.81,0,0,0,27,12,161,2,0,0
,Darius Johnson ,ATL ,43,27,10,2.70,0,0,0,43,22,210,1,1,0
,Junior Hemingway ,KC ,19,24,16,1.53,0,0,0,19,13,125,2,1,0
,Miles Austin ,DAL ,49,24,11,2.22,0,0,0,49,24,244,0,0,0
,Josh Morgan ,WAS ,35,23,14,1.62,2,13,0,33,20,214,0,0,0
,Dwayne Harris ,DAL ,15,21,13,1.58,1,6,0,14,9,80,2,1,0
,Andrew Hawkins ,CIN ,20,20,8,2.52,2,3,0,18,12,199,0,0,0
,Jaron Brown ,ARI ,18,20,16,1.25,0,0,0,18,11,140,1,0,0
,Damian Williams ,TEN ,23,18,10,1.78,0,0,0,23,15,178,0,1,0
,Marcus Thigpen ,MIA ,17,18,16,1.09,6,18,0,11,8,97,1,0,0
,Jeremy Ross ,GB ,14,17,13,1.28,2,40,0,12,6,67,1,1,0
,Michael Preston ,TEN ,7,16,7,2.24,0,0,0,7,5,37,2,0,0
,DeVier Posey ,HOU ,25,16,13,1.19,0,0,0,25,15,155,0,0,0
,Travis Benjamin ,CLE ,14,15,8,1.88,1,45,0,13,5,105,0,1,0
,Malcom Floyd ,SD ,11,15,2,7.45,0,0,0,11,6,149,0,0,0
,Greg Salas ,NYJ ,13,14,8,1.79,0,0,0,13,8,143,0,0,0
,Kyle Williams ,SF ,29,14,10,1.36,2,23,0,27,12,113,0,0,0
,A.J. Jenkins ,KC ,19,14,16,0.85,2,6,0,17,8,130,0,0,0
,Brittan Golden ,ARI ,10,14,5,2.72,0,0,0,10,4,136,0,0,0
,Jeff Maehl ,PHI ,9,13,16,0.79,0,0,0,9,4,67,1,0,0
,Seyi Ajirotutu ,SD ,4,12,14,0.89,0,0,0,4,3,64,1,0,0
,Clyde Gates ,NYJ ,24,12,6,2.03,0,0,0,24,12,122,0,0,0
,Josh Boyce ,NE ,19,12,9,1.34,0,0,0,19,9,121,0,0,0
,Domenik Hixon ,CAR ,9,12,15,0.77,0,0,0,9,7,55,1,0,0
,Brandon Stokley ,BAL ,21,12,6,1.92,0,0,0,21,13,115,0,0,0
,Chris Owusu ,TB ,20,11,9,1.27,0,0,0,20,13,114,0,0,0
,Jacoby Ford ,OAK ,29,11,14,0.81,5,15,0,24,13,99,0,1,0
,Brice Butler ,OAK ,17,10,10,1.03,0,0,0,17,9,103,0,0,0
,Louis Murphy ,NYG ,13,10,14,0.69,0,0,0,13,6,37,1,1,0
,Deonte Thompson ,BAL ,20,10,7,1.37,0,0,0,20,10,96,0,0,0
,Kenny Britt ,TEN ,35,10,12,0.80,0,0,0,35,11,96,0,0,0
,Ryan Broyles ,DET ,14,8,6,1.42,0,0,0,14,8,85,0,0,0
,Mario Manningham ,SF ,23,8,6,1.42,0,0,0,23,9,85,0,0,0
,Chris Hogan ,BUF ,17,8,16,0.52,0,0,0,17,10,83,0,0,0
,Eric Page ,TB ,11,8,16,0.51,2,14,0,9,4,68,0,2,0
,Derek Moye ,PIT ,6,8,8,1.00,0,0,0,6,2,20,1,0,0
,Ricardo Lockette ,SEA ,8,8,8,1.00,1,-2,0,7,5,82,0,0,0
,Marlon Moore ,SF ,16,7,14,0.51,1,9,0,15,7,62,0,0,0
,Nick Toon ,NO ,12,7,8,0.85,0,0,0,12,4,68,0,0,0
,Stephen Burton ,JAC ,14,7,4,1.68,1,-9,0,13,8,76,0,0,0
,Myles White ,GB ,12,7,7,0.94,0,0,0,12,9,66,0,0,0
,Markus Wheaton ,PIT ,13,6,12,0.53,0,0,0,13,6,64,0,0,0
,Austin Collie ,NE ,11,6,7,0.90,0,0,0,11,6,63,0,0,0
,Josh Cribbs ,NYJ ,18,6,6,1.02,13,55,0,2,2,6,0,0,0
,Dane Sanzenbacher ,CIN ,8,6,10,0.61,0,0,0,8,6,61,0,0,0
,Quinton Patton ,SF ,6,6,6,1.00,1,26,0,5,3,34,0,0,0
,Josh Cooper ,CLE ,14,6,5,1.20,0,0,0,14,9,60,0,0,0
,Patrick Edwards ,DET ,11,5,4,1.15,0,0,0,11,5,46,0,0,0
,Lestar Jean ,HOU ,8,4,11,0.32,0,0,0,8,4,35,0,0,0
,Juron Criner ,OAK ,8,3,1,3.20,0,0,0,8,3,32,0,0,0
,Lamaar Thomas ,JAC ,3,3,2,1.55,0,0,0,3,2,31,0,0,0
,Brad Smith ,BUF ,5,3,7,0.41,2,2,0,2,2,27,0,0,0
,Jon Baldwin ,SF ,9,3,7,0.40,0,0,0,9,3,28,0,0,0
,Skye Dawson ,TB ,9,3,7,0.39,2,15,0,7,2,12,0,0,0
,Chad Hall ,KC ,7,2,9,0.22,0,0,0,7,2,20,0,0,0
,Jeremy Ebert ,JAC ,8,2,5,0.36,0,0,0,8,3,18,0,0,0
,Percy Harvin ,SEA ,1,2,1,1.70,0,0,0,1,1,17,0,0,0
,Kassim Osgood ,SF ,1,2,14,0.12,0,0,0,1,1,17,0,0,0
,Nick Williams ,WAS ,11,2,5,0.30,0,0,0,11,3,15,0,0,0
,Tori Gurley ,CLE ,3,2,3,0.50,0,0,0,3,1,15,0,0,0
,Damaris Johnson ,PHI ,3,1,13,0.11,0,0,0,3,2,14,0,1,0
,Marquess Wilson ,CHI ,3,1,10,0.13,0,0,0,3,2,13,0,0,0
,Marcus Easley ,BUF ,5,1,16,0.08,0,0,0,5,2,13,0,0,0
,Brian Tyms ,CLE ,5,1,8,0.15,0,0,0,5,2,12,0,0,0
,Kevin Cone ,ATL ,1,1,16,0.07,0,0,0,1,1,12,0,0,0
,Armanti Edwards ,CAR ,6,1,5,0.20,1,0,0,5,1,10,0,0,0
,Ben Obomanu ,NYJ ,1,1,3,0.27,0,0,0,1,1,8,0,0,0
,Eric Weems ,CHI ,2,1,16,0.05,0,0,0,2,1,8,0,0,0
,Trindon Holliday ,DEN ,1,1,15,0.05,1,7,0,0,0,0,0,2,0
,Brandon Tate ,CIN ,2,1,16,0.04,0,0,0,2,1,6,0,0,0
,David Reed ,IND ,3,0,7,0.03,0,0,0,3,1,2,0,0,0
,Russell Shepard ,TB ,0,0,14,0.00,0,0,0,0,0,0,0,0,0
,Devin Hester ,CHI ,0,0,16,0.00,0,0,0,0,0,0,0,1,0
,Greg Jenkins ,OAK ,1,0,6,0.00,0,0,0,1,0,0,0,1,0
,Joseph Anderson ,CHI ,1,0,6,0.00,0,0,0,1,0,0,0,0,0
,Lance Lewis ,WAS ,0,0,3,0.00,0,0,0,0,0,0,0,0,0
,Tobais Palmer ,JAC ,0,0,1,0.00,0,0,0,0,0,0,0,0,0
,Tommy Streeter ,NYJ ,0,0,1,0.00,0,0,0,0,0,0,0,0,0
,Ryan Spadola ,NYJ ,1,0,4,0.00,0,0,0,1,0,0,0,0,0
,Matt Slater ,NE ,0,0,12,0.00,0,0,0,0,0,0,0,0,0
,Josh Bellamy ,WAS ,0,0,5,0.00,0,0,0,0,0,0,0,0,0
,Michael Campbell ,NYJ ,2,0,4,0.00,0,0,0,2,0,0,0,0,0
,Justin Veltung ,STL ,0,0,3,0.00,0,0,0,0,0,0,0,0,0
,Bryan Walters ,SEA ,0,0,4,0.00,0,0,0,0,0,0,0,0,0
,Julian Talley ,NYG ,2,0,2,0.00,0,0,0,2,0,0,0,0,0
,Lavelle Hawkins ,SD ,0,0,4,0.00,0,0,0,0,0,0,0,0,0
,Brian Robiskie ,ATL ,1,0,1,0.00,0,0,0,1,0,0,0,0,0
,Stephen Williams ,SEA ,4,0,6,0.00,0,0,0,4,0,0,0,0,0
,B.J. Cunningham ,PHI ,0,0,1,0.00,0,0,0,0,0,0,0,0,0
,Micheal Spurlock ,DET ,0,0,11,0.00,0,0,0,0,0,0,0,0,0
,Chris Harper ,GB ,0,0,4,0.00,0,0,0,0,0,0,0,0,0
,Ryan Whalen ,CIN ,0,0,4,0.00,0,0,0,0,0,0,0,0,0
,Rodney Smith ,MIN ,0,0,3,0.00,0,0,0,0,0,0,0,0,0
,Devon Wylie ,TEN ,0,0,2,0.00,0,0,0,0,0,0,0,1,0
,Saalim Hakim ,NYJ ,3,0,3,-0.10,2,-3,0,1,0,0,0,0,0
