135,Cecil Shorts,JAX,26,13,13,0,0,0,0,0,0,0,,0,123,66,777,11.77,3,WR,96,7.38,,45,
136,Marlon Brown,BAL,22,14,12,0,0,0,0,0,1,-2,-2,0,82,49,524,10.69,7,WR,96,6.86,,44,
138,Rueben Randle,NYG,22,16,3,0,0,0,0,0,0,0,,0,78,41,611,14.9,6,WR,95,5.94,,46,
139,Kenny Stills,NOR,21,16,10,0,0,0,0,0,3,10,3.33,0,50,32,641,20.03,5,WR,95,5.94,,47,
140,Brandon LaFell,CAR,27,16,16,0,0,0,0,0,2,15,7.5,0,85,49,627,12.8,5,WR,94,5.88,,48,
142,DeAndre Hopkins,HOU,21,16,16,0,0,0,0,0,0,0,,0,91,52,802,15.42,2,WR,90,5.63,,49,
143,Hakeem Nicks,NYG,25,15,15,0,0,0,0,0,0,0,,0,101,56,896,16,0,WR,90,6.00,,50,
146,Ted Ginn,CAR,28,16,2,0,0,0,0,0,4,29,7.25,0,68,36,556,15.44,5,WR,89,5.56,,51,
152,Roddy White,ATL,32,13,13,0,0,0,0,0,0,0,,0,97,63,711,11.29,3,WR,87,6.69,,52,
153,Jarrett Boykin,GNB,24,16,8,0,0,0,0,0,0,0,,0,83,49,681,13.9,3,WR,86,5.38,,53,
154,Tavon Austin,STL,22,13,3,0,1,0,0,0,9,151,16.78,1,69,40,418,10.45,4,WR,85,6.54,,54,
161,Robert Woods,BUF,21,14,14,0,0,0,0,0,2,16,8,0,85,40,587,14.68,3,WR,80,5.71,,55,
163,Steve Johnson,BUF,27,12,12,0,0,0,0,0,1,10,10,0,101,52,597,11.48,3,WR,79,6.58,,56,
164,Jerome Simpson,MIN,27,16,8,0,0,0,0,0,0,0,,0,100,48,726,15.13,1,WR,79,4.94,,57,
168,Aaron Dobson,NWE,22,12,9,0,0,0,0,0,0,0,,0,72,37,519,14.03,4,WR,76,6.33,,58,
171,Danny Amendola,NWE,28,12,6,0,0,0,0,0,1,1,1,0,83,54,633,11.72,2,WR,75,6.25,,59,
172,Randall Cobb,GNB,23,6,4,0,0,0,0,0,4,78,19.5,0,47,31,433,13.97,4,WR,75,12.50,,60,
176,Kenbrell Thompkins,NWE,25,12,8,0,0,0,0,0,0,0,,0,69,32,466,14.56,4,WR,71,5.92,,62,
177,Jeremy Kerley,NYJ,25,12,8,0,1,0,0,0,4,11,2.75,0,72,43,523,12.16,3,WR,71,5.92,,61,
178,Donnie Avery,KAN,29,16,14,0,0,0,0,0,2,6,3,0,71,40,596,14.9,2,WR,70,4.38,,63,
180,Julio Jones,ATL,24,5,5,0,0,0,0,0,1,7,7,0,59,41,580,14.15,2,WR,69,13.80,,64,
182,Tiquan Underwood,TAM,26,12,7,0,0,0,0,0,0,0,,0,46,24,440,18.33,4,WR,68,5.67,,65,
186,Reggie Wayne,IND,35,7,7,0,0,0,0,0,1,5,5,0,58,38,503,13.24,2,WR,65,9.29,,66,
187,Austin Pettis,STL,25,16,6,0,0,0,0,0,0,0,,0,63,38,399,10.5,4,WR,64,4.00,,67,
188,Dexter McCluster*,KAN,25,15,6,0,0,0,0,0,8,5,0.63,0,83,53,511,9.64,2,WR,64,4.27,,68,
193,Kris Durham,DET,25,16,13,0,0,0,0,0,0,0,,0,85,38,490,12.89,2,WR,61,3.81,,70,
194,Jarius Wright,MIN,24,16,3,0,0,0,0,0,0,0,,0,43,26,434,16.69,3,WR,61,3.81,,69,
195,Ace Sanders,JAX,22,15,4,1,1,21,1,0,2,4,2,0,87,51,484,9.49,1,WR,60,4.00,,71,
197,Greg Little,CLE,24,16,13,0,0,0,0,0,0,0,,0,99,41,465,11.34,2,WR,59,3.69,,74,
199,Justin Hunter,TEN,22,14,0,0,0,0,0,0,0,0,,0,42,18,354,19.67,4,WR,59,4.21,,72,
200,Andre Roberts,ARI,25,16,2,0,0,0,0,0,0,0,,0,76,43,471,10.95,2,WR,59,3.69,,73,
201,Jacoby Jones,BAL,29,12,9,0,0,0,0,0,2,0,0,0,68,37,455,12.3,2,WR,58,4.83,,76,
202,Mohamed Sanu,CIN,24,16,14,1,1,25,0,0,4,16,4,0,77,47,455,9.68,2,WR,58,3.63,,75,
206,Jermaine Kearse,SEA,23,15,5,0,0,0,0,0,0,0,,0,38,22,346,15.73,4,WR,57,3.80,,77,
209,Leonard Hankerson,WAS,24,10,7,0,0,0,0,0,0,0,,0,50,30,375,12.5,3,WR,56,5.60,,82,
210,Ladarius Green,SDG,23,16,10,0,0,0,0,0,0,0,,0,30,17,376,22.12,3,WR,56,3.50,,81,
211,Lance Moore,NOR,30,13,5,0,0,0,0,0,0,0,,0,54,37,457,12.35,2,WR,56,4.31,,78,
212,Santana Moss,WAS,34,16,1,0,0,0,0,0,3,25,8.33,0,79,42,452,10.76,2,WR,56,3.50,,79,
213,Chris Givens,STL,24,16,13,0,0,0,0,0,3,8,2.67,0,83,34,569,16.74,0,WR,56,3.50,,80,
214,Jason Avant,PHI,30,16,13,0,0,0,0,0,0,0,,0,77,38,447,11.76,2,WR,55,3.44,,83,
215,Jerrel Jernigan,NYG,24,15,3,0,0,0,0,0,2,57,28.5,1,45,29,329,11.34,2,WR,55,3.67,,85,
217,Mike Brown,JAX,24,11,6,0,0,0,0,0,0,0,,0,56,32,446,13.94,2,WR,55,5.00,,84,
220,David Nelson,NYJ,27,12,6,0,0,0,0,0,0,0,,0,60,36,423,11.75,2,WR,54,4.50,,86,
223,Vincent Brown,SDG,24,16,12,0,0,0,0,0,0,0,,0,70,41,472,11.51,1,WR,53,3.31,,87,
226,Santonio Holmes,NYJ,29,11,11,0,0,0,0,0,0,0,,0,59,23,456,19.83,1,WR,52,4.73,,88,
227,Brandon Gibson,MIA,26,7,3,0,0,0,0,0,0,0,,0,43,30,326,10.87,3,WR,51,7.29,,90,
229,Nate Burleson,DET,32,9,8,0,0,0,0,0,2,-8,-4,0,55,39,461,11.82,1,WR,51,5.67,,89,
232,Lance Kendricks,STL,25,15,13,0,0,0,0,0,0,0,,0,46,32,258,8.06,4,WR,50,3.33,,92,
233,Earl Bennett,CHI,26,15,3,0,0,0,0,0,0,0,,0,43,32,243,7.59,4,WR,50,3.33,,91,
236,Cole Beasley,DAL,24,14,3,0,0,0,0,0,0,0,,0,54,39,368,9.44,2,WR,49,3.50,,95,
237,Andre Holmes,OAK,25,10,4,0,0,0,0,0,0,0,,0,52,25,431,17.24,1,WR,49,4.90,,94,
238,Justin Blackmon,JAX,23,4,4,0,0,0,0,0,1,-1,-1,0,48,29,415,14.31,1,WR,49,12.25,,93,
239,Aldrick Robinson,WAS,25,16,1,0,0,0,0,0,3,-4,-1.33,0,46,18,365,20.28,2,WR,48,3.00,,97,
240,T.J. Graham,BUF,24,16,6,0,0,0,0,0,4,14,3.5,0,58,23,361,15.7,2,WR,48,3.00,,98,
241,Davone Bess,CLE,28,14,3,0,0,0,0,0,0,0,,0,86,42,362,8.62,2,WR,48,3.43,,96,
246,Marquise Goodwin,BUF,23,12,1,0,0,0,0,0,3,13,4.33,0,32,17,283,16.65,3,WR,46,3.83,,99,
247,Robert Meachem,NOR,29,15,5,0,0,0,0,0,2,-1,-0.5,0,30,16,324,20.25,2,WR,44,2.93,,100,
248,Darrius Heyward-Bey,IND,26,16,11,0,0,0,0,0,3,26,8.67,0,64,29,309,10.66,1,WR,44,2.75,,101,
252,Brian Quick,STL,24,16,5,0,0,0,0,0,0,0,,0,35,18,302,16.78,2,WR,42,2.63,,102,
254,Griff Whalen,IND,23,9,3,0,0,0,0,0,0,0,,0,40,24,259,10.79,2,WR,40,4.44,,103,
257,Sidney Rice,SEA,27,8,6,0,0,0,0,0,0,0,,0,35,15,231,15.4,3,WR,39,4.88,,104,
258,Kevin Ogletree,2TM,26,16,2,0,0,0,0,0,0,0,,0,45,21,269,12.81,2,WR,39,2.44,,105,
259,Andre Caldwell,DEN,28,16,2,0,0,0,0,0,1,7,7,0,29,16,200,12.5,3,WR,39,2.44,,106,
263,Stephen Hill,NYJ,22,12,11,0,0,0,0,0,0,0,,0,59,24,342,14.25,1,WR,38,3.17,,107,
272,Keshawn Martin,HOU,23,16,1,0,0,0,0,0,0,0,,0,40,22,253,11.5,2,WR,35,2.19,,108,
276,Mike Williams,TAM,26,6,5,0,0,0,0,0,0,0,,0,40,22,216,9.82,2,WR,34,5.67,,110,
277,Drew Davis,ATL,24,16,3,0,0,0,0,0,0,0,,0,4,12,216,18,2,WR,34,2.13,,111,
281,Michael Crabtree,SFO,26,5,5,0,0,0,0,0,0,0,,0,33,19,284,14.95,1,WR,34,6.80,,109,
283,Luke Willson,SEA,23,16,7,0,0,0,0,0,0,0,,0,28,20,272,13.6,1,WR,33,2.06,,112,
284,Stedman Bailey,STL,23,16,2,0,0,0,0,0,2,33,16.5,1,25,17,226,13.29,0,WR,32,2.00,,113,
286,Da'Rick Rogers,IND,22,5,3,0,0,0,0,0,1,0,0,0,23,14,192,13.71,2,WR,31,6.20,,114,
290,Kerry Taylor,2TM,24,10,4,0,0,0,0,0,0,0,,0,,22,229,10.41,1,WR,29,2.90,,115,
291,Tandon Doss,BAL,24,15,2,0,0,0,0,0,0,0,,0,36,19,305,16.05,0,WR,29,1.93,,116,
294,LaVon Brazill,IND,24,10,0,0,0,0,0,0,0,0,,0,27,12,161,13.42,2,WR,28,2.80,,117,
298,Darius Johnson,ATL,22,10,2,0,0,0,0,0,0,0,,0,43,22,210,9.55,1,WR,25,2.50,,118,
304,Miles Austin,DAL,29,11,8,0,0,0,0,0,0,0,,0,49,24,244,10.17,0,WR,24,2.18,,119,
308,Junior Hemingway,KAN,25,16,2,0,0,0,0,0,0,0,,0,20,13,125,9.62,2,WR,23,1.44,,121,
309,Josh Morgan,WAS,28,14,7,0,0,0,0,0,2,13,6.5,0,34,20,214,10.7,0,WR,23,1.64,,120,
315,Andrew Hawkins,CIN,27,8,0,0,0,0,0,0,2,3,1.5,0,18,12,199,16.58,0,WR,20,2.50,,122,
