368,Terrance Copper,29,12,8,114,14.25,0,WR,11
369,Domenik Hixon,27,6,4,50,12.5,1,WR,11
370,Sam Hurd,26,15,8,109,13.63,0,WR,11
375,Jerheme Urban,31,13,4,35,8.75,1,WR,10
382,Weslye Saunders,22,8,4,29,7.25,1,WR,9
383,Chad Hall,25,9,3,20,6.67,1,WR,9
384,Bernard Berrian,31,23,7,91,13,0,WR,9
385,Eric Weems,26,14,11,90,8.18,0,WR,9
386,Keary Colbert,29,12,9,89,9.89,0,WR,9
388,Ramses Barden,25,19,9,94,10.44,0,WR,9
392,Michael Hoomanawanui,23,13,7,83,11.86,0,WR,8
394,Ruvell Martin,29,16,7,82,11.71,0,WR,8
396,Brandon Banks,24,1,1,10,10,0,WR,7
397,Lee Evans,30,26,4,74,18.5,0,WR,7
403,Rashied Davis,32,5,4,63,15.75,0,WR,6
419,Danny Amendola,26,6,5,45,9,0,WR,5
420,Matt Slater*,26,3,1,46,46,0,WR,5
421,LaQuan Williams,23,12,4,46,11.5,0,WR,5
422,Deon Butler,25,7,6,51,8.5,0,WR,5
423,Stefan Logan,30,1,1,19,19,0,WR,5
424,Sammie Stroughter,25,7,4,52,13,0,WR,5
432,Julian Edelman,25,9,4,34,8.5,0,WR,4
433,DeMarco Sampson,26,8,3,36,12,0,WR,4
434,Devin Thomas,25,3,3,37,12.33,0,WR,4
435,Chansi Stuckey,28,8,4,39,9.75,0,WR,4
436,Taylor Price,24,4,2,39,19.5,0,WR,4
438,Kassim Osgood,31,11,5,42,8.4,0,WR,4
443,Stephen Burton,22,3,2,38,19,0,WR,4
453,Brian Robiskie,24,,3,25,8.33,0,WR,3
454,Carlton Mitchell,23,4,3,31,10.33,0,WR,3
455,Adrian Arrington,26,3,2,31,15.5,0,WR,3
456,Niles Paul,22,5,2,25,12.5,0,WR,3
462,Marc Mariani,24,12,5,24,4.8,0,WR,3
463,Kris Durham,23,4,3,30,10,0,WR,3
464,Ryan Whalen,22,5,4,27,6.75,0,WR,3
465,Tiquan Underwood,24,6,3,30,10,0,WR,3
466,Bryan Walters,24,4,3,27,9,0,WR,3
467,Mark Clayton,29,4,3,26,8.67,0,WR,3
471,Clyde Gates,25,,2,19,9.5,0,WR,2
472,David Reed,24,2,0,0,,0,WR,2
473,Roscoe Parrish,29,4,1,16,16,0,WR,2
474,Brett Swain,26,7,2,15,7.5,0,WR,2
490,Emmanuel Arceneaux,24,2,1,10,10,0,WR,1
501,Jordan Shipley,26,5,4,14,3.5,0,WR,1
509,Jeremy Horne,25,2,0,0,,0,WR,1
510,Armanti Edwards,23,0,0,0,,0,WR,1
511,Maurice Stovall,26,3,1,8,8,0,WR,1
512,Nick Miller,24,1,1,8,8,0,WR,1
513,Brandon Stokley,35,3,1,7,7,0,WR,1
514,George Wilson,30,0,0,0,,0,WR,1
515,Micheal Spurlock,28,6,2,13,6.5,0,WR,1
573,Seyi Ajirotutu,24,2,1,4,4,0,WR,
