Demaryius Thomas foundIn2013 = false foundIn2012 = true
Odell Beckham foundIn2013 = false foundIn2012 = false
Jeremy Maclin foundIn2013 = false foundIn2012 = true
Mike Evans foundIn2013 = false foundIn2012 = false
Calvin Johnson foundIn2013 = true foundIn2012 = false
DeAndre Hopkins foundIn2013 = true foundIn2012 = false
Kelvin Benjamin foundIn2013 = false foundIn2012 = false
Jordan Matthews foundIn2013 = false foundIn2012 = false
Sammy Watkins foundIn2013 = false foundIn2012 = false
Andre Williams foundIn2013 = false foundIn2012 = false
Mohamed Sanu foundIn2013 = true foundIn2012 = false
Eddie Royal foundIn2013 = false foundIn2012 = false
Kenny Stills foundIn2013 = true foundIn2012 = false
Terrance Williams foundIn2013 = true foundIn2012 = false
Allen Hurns foundIn2013 = false foundIn2012 = false
Martavis Bryant foundIn2013 = false foundIn2012 = false
Robert Woods foundIn2013 = true foundIn2012 = false
John Brown foundIn2013 = false foundIn2012 = false
Keenan Allen foundIn2013 = true foundIn2012 = false
Jarvis Landry foundIn2013 = false foundIn2012 = false
Brandin Cooks foundIn2013 = false foundIn2012 = false
Zach Ertz foundIn2013 = false foundIn2012 = false
Roy Helu foundIn2013 = false foundIn2012 = false
Markus Wheaton foundIn2013 = true foundIn2012 = false
Devin Hester foundIn2013 = false foundIn2012 = true
Taylor Gabriel foundIn2013 = false foundIn2012 = false
Allen Robinson foundIn2013 = false foundIn2012 = false
Justin Hunter foundIn2013 = true foundIn2012 = false
Donte Moncrief foundIn2013 = false foundIn2012 = false
Davante Adams foundIn2013 = false foundIn2012 = false
Chris Hogan foundIn2013 = true foundIn2012 = false
Tim Wright foundIn2013 = false foundIn2012 = false
Cordarrelle Patterson foundIn2013 = true foundIn2012 = false
Charles Johnson foundIn2013 = false foundIn2012 = false
Tavon Austin foundIn2013 = true foundIn2012 = false
Lance Kendricks foundIn2013 = true foundIn2012 = false
Niles Paul foundIn2013 = true foundIn2012 = false
Preston Parker foundIn2013 = false foundIn2012 = true
Stedman Bailey foundIn2013 = true foundIn2012 = false
Corey Brown foundIn2013 = false foundIn2012 = false
Marqise Lee foundIn2013 = false foundIn2012 = false
Jace Amaro foundIn2013 = false foundIn2012 = false
Kamar Aiken foundIn2013 = false foundIn2012 = false
Dion Sims foundIn2013 = false foundIn2012 = false
Brice Butler foundIn2013 = true foundIn2012 = false
Victor Cruz foundIn2013 = false foundIn2012 = false
Jaron Brown foundIn2013 = true foundIn2012 = false
De'Anthony Thomas foundIn2013 = false foundIn2012 = false
Paul Richardson foundIn2013 = false foundIn2012 = false
Jeremy Ross foundIn2013 = true foundIn2012 = false
Ricardo Lockette foundIn2013 = true foundIn2012 = false
Derek Hagan foundIn2013 = false foundIn2012 = true
Bruce Ellington foundIn2013 = false foundIn2012 = false
Kenbrell Thompkins foundIn2013 = true foundIn2012 = false
Albert Wilson foundIn2013 = false foundIn2012 = false
Rishard Matthews foundIn2013 = false foundIn2012 = true
Marlon Brown foundIn2013 = true foundIn2012 = false
Nick Toon foundIn2013 = true foundIn2012 = false
Greg Salas foundIn2013 = true foundIn2012 = false
Corey Fuller foundIn2013 = false foundIn2012 = false
Brenton Bersin foundIn2013 = false foundIn2012 = false
Adam Thielen foundIn2013 = false foundIn2012 = false
Marquess Wilson foundIn2013 = true foundIn2012 = false
Brandon Myers foundIn2013 = false foundIn2012 = false
Dontrelle Inman foundIn2013 = false foundIn2012 = false
Michael Campanaro foundIn2013 = false foundIn2012 = false
Joe Morgan foundIn2013 = false foundIn2012 = true
T.J. Graham foundIn2013 = true foundIn2012 = false
Brian Tyms foundIn2013 = true foundIn2012 = false
Matt Spaeth foundIn2013 = false foundIn2012 = false
Logan Paulsen foundIn2013 = false foundIn2012 = false
Robert Herron foundIn2013 = false foundIn2012 = false
Vincent Brown foundIn2013 = true foundIn2012 = false
James Wright foundIn2013 = false foundIn2012 = false
Corey Washington foundIn2013 = false foundIn2012 = false
Chris Gragg foundIn2013 = false foundIn2012 = false
Junior Hemingway foundIn2013 = true foundIn2012 = false
Kevin Norwood foundIn2013 = false foundIn2012 = false
A.J. Jenkins foundIn2013 = true foundIn2012 = false
Josh Huff foundIn2013 = false foundIn2012 = false
