Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Kurt Kittner ,ATL ,QB,44,114,38.6,16.3,391,3.4,55.9,2,6,23,20.2,31,2,0,5,32.5
52,Steve Beuerlein ,DEN ,QB,33,63,52.4,15.8,389,6.2,97.2,2,5,18,28.6,38,5,0,9,49.0
53,Kurt Warner ,STL ,QB,38,65,58.5,32.5,365,5.6,182.5,1,1,15,23.1,37T ,3,0,6,72.9
54,Marques Tuiasosopo ,OAK ,QB,25,45,55.6,11.2,324,7.2,81.0,0,3,14,31.1,35,5,0,2,50.6
55,Neil O'Donnell ,TEN ,QB,18,27,66.7,27.0,232,8.6,232.0,2,1,13,48.1,34T ,4,0,0,102.7
56,Travis Brown ,BUF ,QB,14,18,77.8,9.0,160,8.9,80.0,0,1,7,38.9,28,3,0,1,80.6
57,Dave Ragone ,HOU ,QB,20,40,50.0,20.0,135,3.4,67.5,0,1,7,17.5,24,1,0,8,47.4
58,Shaun King ,TB ,QB,15,22,68.2,7.3,130,5.9,43.3,1,1,6,27.3,20,1,0,3,79.7
59,Mike McMahon ,DET ,QB,9,31,29.0,10.3,87,2.8,29.0,0,2,4,12.9,26,1,0,2,12.7
60,David Garrard ,JAC ,QB,9,12,75.0,6.0,86,7.2,43.0,1,0,5,41.7,28,2,0,0,122.2
61,Todd Bouman ,NO ,QB,7,13,53.8,3.2,81,6.2,20.2,1,0,4,30.8,19,0,0,2,98.6
61,Josh Miller ,PIT ,P,1,1,100.0,0.1,81,81.0,5.1,1,0,1,100.0,81T ,1,1,0,158.3
63,Todd Collins ,KC ,QB,9,12,75.0,2.4,74,6.2,14.8,0,0,3,25.0,20,1,0,0,90.3
64,Rod Smith ,DEN ,WR,1,1,100.0,0.1,72,72.0,4.8,0,0,1,100.0,72,1,1,0,118.8
65,Tee Martin ,OAK ,QB,6,16,37.5,8.0,69,4.3,34.5,0,1,5,31.3,17,0,0,1,25.3
66,Isaac Bruce ,STL ,WR,2,2,100.0,0.1,66,33.0,4.4,0,0,2,100.0,41,2,1,0,118.8
67,Chris Redman ,BAL ,QB,7,13,53.8,6.5,58,4.5,29.0,0,2,4,30.8,16,0,0,6,26.0
68,Rob Johnson ,OAK ,QB,6,13,46.2,6.5,54,4.2,27.0,0,1,3,23.1,15,0,0,1,25.8
69,Sage Rosenfels ,MIA ,QB,4,6,66.7,3.0,50,8.3,25.0,1,0,2,33.3,21T ,1,0,0,131.9
70,Alex Van Pelt ,BUF ,QB,5,12,41.7,2.0,49,4.1,8.2,0,3,1,8.3,14,0,0,1,14.2
71,Charlie Batch ,PIT ,QB,4,8,50.0,2.7,47,5.9,15.7,0,0,2,25.0,22,1,0,1,68.2
72,Rod Gardner ,WAS ,WR,2,3,66.7,0.2,46,15.3,2.9,2,0,2,66.7,36T ,1,0,0,149.3
73,Jarious Jackson ,DEN ,QB,4,9,44.4,9.0,41,4.6,41.0,0,1,3,33.3,16,0,0,0,18.5
74,Aveion Cason ,DAL ,RB,1,1,100.0,0.1,37,37.0,3.7,0,0,1,100.0,37,1,0,0,118.8
75,Koy Detmer ,PHI ,QB,3,5,60.0,0.3,32,6.4,2.0,0,0,3,60.0,15,0,0,0,78.8
75,LaBrandon Toefield ,JAC ,RB,1,2,50.0,0.1,32,16.0,2.0,0,0,1,50.0,32,1,0,0,95.8
77,Rohan Davey ,NE ,QB,3,7,42.9,7.0,31,4.4,31.0,0,0,2,28.6,16,0,0,0,56.2
77,Trent Dilfer ,SEA ,QB,4,8,50.0,1.6,31,3.9,6.2,1,1,3,37.5,14,0,0,1,59.9
79,Craig Hentrich ,TEN ,P,2,5,40.0,0.3,25,5.0,1.6,0,0,2,40.0,15,0,0,0,56.2
79,Freddie Mitchell ,PHI ,WR,1,1,100.0,0.1,25,25.0,1.6,1,0,1,100.0,25T ,1,0,0,158.3
81,Brock Huard ,IND ,QB,2,3,66.7,1.5,22,7.3,11.0,0,0,2,66.7,13,0,0,1,88.2
82,Az-Zahir Hakim ,DET ,WR,1,1,100.0,0.1,21,21.0,1.5,0,0,1,100.0,21,1,0,0,118.8
82,LaDainian Tomlinson ,SD ,RB,1,1,100.0,0.1,21,21.0,1.3,1,0,1,100.0,21T ,1,0,0,158.3
84,Rodney Peete ,CAR ,QB,4,10,40.0,10.0,19,1.9,19.0,0,0,0,0.0,8,0,0,3,47.9
85,Doug Pederson ,GB ,QB,2,2,100.0,0.1,16,8.0,1.0,0,0,0,0.0,14,0,0,0,100.0
86,Drew Bennett ,TEN ,WR,1,1,100.0,0.1,14,14.0,1.2,0,0,1,100.0,14,0,0,0,118.8
86,Joe Horn ,NO ,WR,1,1,100.0,0.1,14,14.0,0.9,0,0,1,100.0,14,0,0,0,118.8
88,Dane Looker ,STL ,WR,1,1,100.0,0.1,11,11.0,0.7,0,0,1,100.0,11,0,0,0,112.5
89,Chad Hutchinson ,DAL ,QB,1,2,50.0,2.0,8,4.0,8.0,0,0,0,0.0,8,0,0,0,60.4
90,Gibran Hamdan ,WAS ,QB,1,2,50.0,2.0,7,3.5,7.0,0,0,0,0.0,7,0,0,1,58.3
91,Antwaan Randle El ,PIT ,WR,3,4,75.0,0.2,6,1.5,0.4,0,0,0,0.0,9,0,0,0,77.1
91,Cedrick Wilson ,SF ,WR,1,1,100.0,0.1,6,6.0,0.4,0,0,0,0.0,6,0,0,0,91.7
93,Bryan Barker ,WAS ,P,1,1,100.0,0.1,3,3.0,0.2,0,0,1,100.0,3,0,0,0,79.2
94,Richie Anderson ,DAL ,FB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
94,Darren Bennett ,SD ,P,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
94,Mitch Berger ,NO ,P,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
94,Anquan Boldin ,ARI ,WR,0,1,0.0,0.1,0,0.0,0.0,0,1,0,0.0,0,0,0,0,0.0
94,Brant Boyer ,CLE ,OLB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
94,Woody Dantzler ,ATL ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,1,39.6
94,T.J. Duckett ,ATL ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
