David Nelson ,1.08,60,36,423,2,5,2,31,0
Kris Durham ,1.35,85,38,490,2,21,8,125,1
Kevin Ogletree ,0.71,45,21,269,2,57,32,436,4
Andre Caldwell ,0.29,30,16,200,3,5,1,18,0
Seyi Ajirotutu ,0.28,4,3,64,1,4,3,45,0
Jerrel Jernigan ,1.90,46,29,329,2,6,3,22,0
Darrius Heyward-Bey ,0.21,67,29,309,1,82,41,606,5
DeVier Posey ,3.00,25,15,155,0,15,6,87,0
Ryan Broyles ,0.50,14,8,85,0,32,22,310,2
Damian Williams ,0.62,23,15,178,0,45,30,324,0
Jarrett Boykin ,0.18,83,49,681,3,6,5,27,0
Brad Smith ,0.08,5,2,27,0,37,14,152,2
Josh Cribbs ,0.13,18,2,6,0,17,7,63,0
Micheal Spurlock ,0.80,0,0,0,0,29,23,200,1
Aldrick Robinson ,0.12,49,18,365,2,20,11,237,3
Kassim Osgood ,0.00,1,1,17,0,0,0,0,0
Leonard Hankerson ,0.00,50,30,375,3,59,38,543,3
Drew Davis ,0.00,16,12,216,2,6,4,40,1
Tommy Streeter ,0.00,0,0,0,0,0,0,0,0
Matt Slater ,0.00,0,0,0,0,0,0,0,0
Deonte Thompson ,0.00,20,10,96,0,6,5,51,0
Marlon Moore ,0.00,16,7,62,0,12,6,116,1
Marcus Easley ,0.00,5,2,13,0,0,0,0,0
Trindon Holliday ,0.00,1,0,0,0,2,2,17,0
Justin Blackmon ,0.00,49,29,415,1,134,64,865,5
Josh Bellamy ,0.00,0,0,0,0,0,0,0,0
Marcus Thigpen ,0.00,17,8,97,1,3,1,15,0
