51. Jimmy Clausen,CHI,4,26,48,223,2,1,3,9,0,20.1,5.0
 52. Christian Ponder,MIN,2,22,44,222,0,2,4,16,1,18.7,9.4
 53. Johnny Manziel,CLE,4,18,35,175,0,2,9,29,1,17.7,4.4
 54. Jimmy Garoppolo,NE,5,19,27,182,1,0,10,9,0,14.0,2.8
 55. Matt McGloin,OAK,1,12,19,129,1,2,2,3,0,10.8,10.8
 56. Connor Shaw,CLE,1,14,28,177,0,1,7,9,0,9.8,9.8
 57. Chase Daniel,KC,2,16,28,157,0,0,4,15,0,9.4,4.7
 58. Logan Thomas,ARI,2,1,9,81,1,0,0,0,0,8.1,4.0
 59. Brock Osweiler,DEN,4,4,10,52,1,0,8,0,0,6.6,1.7
 60. Blaine Gabbert,SF,1,3,7,38,1,0,1,5,0,6.4,6.4
 61. Tom Savage,HOU,2,10,19,127,0,1,6,-6,0,5.8,2.9
 62. Jason Campbell,CIN,4,11,19,74,0,0,1,1,0,3.8,1.0
 63. T.J. Yates,ATL,1,3,4,64,0,1,0,0,0,3.2,3.2
 64. Matt Schaub,OAK,2,5,10,57,0,2,0,0,0,2.9,1.4
 65. Ryan Nassib,NYG,2,4,5,60,0,0,2,-3,0,2.7,1.4
 66. Matt Flynn,GB,7,8,16,66,0,1,10,-10,0,2.3,0.3
 67. Matt Simms,NYJ,1,3,8,39,0,0,1,2,0,2.2,2.2
 68. Matt Moore,MIA,2,2,4,21,0,0,2,-2,0,0.9,0.4
 69. Kellen Clemens,SD,1,1,3,10,0,0,0,0,0,0.5,0.5
 70. Jordan Palmer,TEN,1,1,3,7,0,0,1,-1,0,0.3,0.3
 71. Matt Barkley,PHI,1,0,1,0,0,0,3,0,0,0.0,0.0
 72. Tarvaris Jackson,SEA,1,1,1,0,0,0,0,0,0,0.0,0.0
 73. Brad Smith,PHI,2,0,0,0,0,0,0,0,0,0.0,0.0
 74. Bruce Gradkowski,PIT,1,0,0,0,0,0,2,-2,0,-0.2,-0.2
 75. Tyrod Taylor,BAL,1,0,0,0,0,0,4,-3,0,-0.3,-0.3
