Odell Beckham  foundIn2013 = false foundIn2012 = false
Jeremy Maclin  foundIn2013 = false foundIn2012 = true
Mike Evans  foundIn2013 = false foundIn2012 = false
DeAndre Hopkins  foundIn2013 = true foundIn2012 = false
Calvin Johnson  foundIn2013 = true foundIn2012 = false
Kelvin Benjamin  foundIn2013 = false foundIn2012 = false
Jordan Matthews  foundIn2013 = false foundIn2012 = false
Sammy Watkins  foundIn2013 = false foundIn2012 = false
Kenny Stills  foundIn2013 = true foundIn2012 = false
Terrance Williams  foundIn2013 = true foundIn2012 = false
Jarvis Landry  foundIn2013 = false foundIn2012 = false
Martavis Bryant  foundIn2013 = false foundIn2012 = false
Allen Hurns  foundIn2013 = false foundIn2012 = false
Keenan Allen  foundIn2013 = true foundIn2012 = false
Robert Woods  foundIn2013 = true foundIn2012 = false
John Brown  foundIn2013 = false foundIn2012 = false
Brandin Cooks  foundIn2013 = false foundIn2012 = false
Markus Wheaton  foundIn2013 = true foundIn2012 = false
Taylor Gabriel  foundIn2013 = false foundIn2012 = false
Justin Hunter  foundIn2013 = true foundIn2012 = false
Allen Robinson  foundIn2013 = false foundIn2012 = false
Chris Hogan  foundIn2013 = true foundIn2012 = false
Donte Moncrief  foundIn2013 = false foundIn2012 = false
Davante Adams  foundIn2013 = false foundIn2012 = false
Cordarrelle Patterson  foundIn2013 = true foundIn2012 = false
Tavon Austin  foundIn2013 = true foundIn2012 = false
Charles Johnson  foundIn2013 = false foundIn2012 = false
Preston Parker  foundIn2013 = false foundIn2012 = true
Philly Brown  foundIn2013 = false foundIn2012 = false
Stedman Bailey  foundIn2013 = true foundIn2012 = false
Marqise Lee  foundIn2013 = false foundIn2012 = false
Kamar Aiken  foundIn2013 = false foundIn2012 = true
Brice Butler  foundIn2013 = true foundIn2012 = false
Brandon Lloyd  foundIn2013 = false foundIn2012 = true
Jaron Brown  foundIn2013 = true foundIn2012 = false
Paul Richardson  foundIn2013 = false foundIn2012 = false
De'Anthony Thomas  foundIn2013 = false foundIn2012 = false
Ricardo Lockette  foundIn2013 = true foundIn2012 = false
Derek Hagan  foundIn2013 = false foundIn2012 = true
Josh Gordon  foundIn2013 = false foundIn2012 = true
Corey Fuller  foundIn2013 = false foundIn2012 = false
Bruce Ellington  foundIn2013 = false foundIn2012 = false
Kenbrell Thompkins  foundIn2013 = true foundIn2012 = false
Albert Wilson  foundIn2013 = false foundIn2012 = false
Marlon Brown  foundIn2013 = true foundIn2012 = false
Brenton Bersin  foundIn2013 = false foundIn2012 = false
Marquess Wilson  foundIn2013 = true foundIn2012 = false
Adam Thielen  foundIn2013 = false foundIn2012 = false
Michael Campanaro  foundIn2013 = false foundIn2012 = false
Joseph Morgan  foundIn2013 = false foundIn2012 = true
Dontrelle Inman  foundIn2013 = false foundIn2012 = false
Brian Tyms  foundIn2013 = true foundIn2012 = false
James Wright  foundIn2013 = false foundIn2012 = false
Robert Herron  foundIn2013 = false foundIn2012 = false
Vincent Brown  foundIn2013 = true foundIn2012 = false
Corey Washington  foundIn2013 = false foundIn2012 = false
Josh Huff  foundIn2013 = false foundIn2012 = false
Kevin Norwood  foundIn2013 = false foundIn2012 = false
Justin Brown  foundIn2013 = false foundIn2012 = false
Ryan Grant  foundIn2013 = false foundIn2012 = false
Quinton Patton  foundIn2013 = true foundIn2012 = false
Russell Shepard  foundIn2013 = true foundIn2012 = false
Dri Archer  foundIn2013 = false foundIn2012 = false
Ace Sanders  foundIn2013 = true foundIn2012 = false
Bryan Walters  foundIn2013 = true foundIn2012 = false
Marquise Goodwin  foundIn2013 = true foundIn2012 = false
Jeff Maehl  foundIn2013 = true foundIn2012 = false
Frankie Hammond Jr.  foundIn2013 = false foundIn2012 = false
Aaron Dobson  foundIn2013 = true foundIn2012 = false
Griff Whalen  foundIn2013 = true foundIn2012 = false
Cody Latimer  foundIn2013 = false foundIn2012 = false
Solomon Patton  foundIn2013 = false foundIn2012 = false
Devin Street  foundIn2013 = false foundIn2012 = false
Jeff Janis  foundIn2013 = false foundIn2012 = false
Tavarres King  foundIn2013 = false foundIn2012 = false
Courtney Roby  foundIn2013 = false foundIn2012 = true
Evan Spencer  foundIn2013 = false foundIn2012 = false
Jalen Saunders  foundIn2013 = false foundIn2012 = false
Kevin Dorsey  foundIn2013 = false foundIn2012 = false
Julian Talley  foundIn2013 = true foundIn2012 = false
Rodney Smith  foundIn2013 = true foundIn2012 = false
Marc Mariani  foundIn2013 = false foundIn2012 = false
Rashad Ross  foundIn2013 = false foundIn2012 = false
Marcus Harris  foundIn2013 = false foundIn2012 = false
Walter Powell  foundIn2013 = false foundIn2012 = false
Saalim Hakim  foundIn2013 = true foundIn2012 = false
Onterio McCalebb  foundIn2013 = false foundIn2012 = false
Chris Matthews  foundIn2013 = false foundIn2012 = false
LaRon Byrd  foundIn2013 = false foundIn2012 = true
Shane Wynn  foundIn2013 = false foundIn2012 = false
Jaelen Strong  foundIn2013 = false foundIn2012 = false
Rico Richardson  foundIn2013 = false foundIn2012 = false
Quincy Enunwa  foundIn2013 = false foundIn2012 = false
Isaiah Burse  foundIn2013 = false foundIn2012 = false
Josh Boyce  foundIn2013 = true foundIn2012 = false
Freddie Martino  foundIn2013 = false foundIn2012 = false
Philip Bates  foundIn2013 = false foundIn2012 = false
De'Andre Presley  foundIn2013 = false foundIn2012 = true
Chris Williams  foundIn2013 = false foundIn2012 = false
