122,Dwayne Bowe,KAN,28,13,12,0,0,0,0,0,0,0,,0,114,59,801,13.58,3,WR,96,,47,
123,Brandon LaFell,CAR,26,14,12,0,0,0,0,0,3,35,11.67,0,76,44,677,15.39,4,WR,95,,48,
129,Darrius Heyward-Bey,OAK,25,15,14,0,0,0,0,0,2,16,8.00,0,80,41,606,14.78,5,WR,92,,49,
130,Chris Givens,STL,23,15,12,0,0,0,0,0,3,12,4.00,0,80,42,698,16.62,3,WR,91,,51,
131,Jeremy Kerley,NYJ,24,16,7,1,1,42,0,0,5,8,1.60,0,95,56,827,14.77,2,WR,91,,50,
134,Greg Little,CLE,23,16,16,0,0,0,0,0,2,15,7.50,0,94,53,647,12.21,4,WR,90,,52,
135,Pierre Garcon,WAS,26,10,10,0,0,0,0,0,2,9,4.50,0,68,44,633,14.39,4,WR,88,,53,
137,Hakeem Nicks,NYG,24,13,11,0,0,0,0,0,0,0,,0,100,53,692,13.06,3,WR,87,,54,
140,Kendall Wright,TEN,23,15,5,0,0,0,0,0,1,4,4.00,0,104,64,626,9.78,4,WR,85,,55,
143,Davone Bess,MIA,27,13,13,0,0,0,0,0,0,0,,0,104,61,778,12.75,1,WR,84,,57,
144,Brandon Stokley,DEN,36,15,9,0,0,0,0,0,0,0,,0,58,45,544,12.09,5,WR,84,,56,
146,Danny Amendola,STL,27,11,8,0,0,0,0,0,2,8,4.00,0,101,63,666,10.57,3,WR,83,,58,
147,Kenny Britt,TEN,24,14,11,0,0,0,0,0,0,0,,0,90,45,589,13.09,4,WR,83,,59,
150,DeSean Jackson,PHI,26,11,11,0,0,0,0,0,3,-7,-2.33,0,87,45,700,15.56,2,WR,81,,60,
153,Andrew Hawkins,CIN,26,14,2,0,0,0,0,0,6,30,5.00,0,80,51,533,10.45,4,WR,80,,61,
160,Rod Streater,OAK,24,16,2,0,0,0,0,0,0,0,,0,74,39,584,14.97,3,WR,76,,62,
163,Leonard Hankerson,WAS,23,16,5,0,0,0,0,0,2,5,2.50,0,57,38,543,14.29,3,WR,73,,63,
169,Kevin Ogletree,DAL,25,15,1,0,0,0,0,0,2,9,4.50,0,55,32,436,13.63,4,WR,69,,65,
170,Domenik Hixon,NYG,28,13,3,0,0,0,0,0,0,0,,0,59,39,567,14.54,2,WR,69,,64,
171,Donald Jones,BUF,25,12,10,0,0,0,0,0,0,0,,0,67,41,443,10.80,4,WR,68,,66,
179,Josh Morgan,WAS,27,16,15,0,1,0,0,0,3,25,8.33,0,73,48,510,10.63,2,WR,66,,68,
180,Michael Floyd,ARI,23,16,3,0,0,0,0,0,0,0,,0,86,45,562,12.49,2,WR,66,,67,
181,Emmanuel Sanders,PIT,25,16,7,0,0,0,0,0,1,4,4.00,0,75,44,626,14.23,1,WR,65,,69,
182,Jason Avant,PHI,29,14,6,0,0,0,0,0,0,0,,0,76,53,648,12.23,0,WR,65,,70,
185,Titus Young,DET,23,10,8,0,0,0,0,0,2,16,8.00,0,56,33,383,11.61,4,WR,64,,71,
186,Kevin Walter,HOU,31,16,14,0,0,0,0,0,0,0,,0,68,41,518,12.63,2,WR,64,,72,
190,Greg Jennings,GNB,29,8,5,0,0,0,0,0,0,0,,0,62,36,366,10.17,4,WR,61,,74,
191,Randy Moss,SFO,35,16,2,0,0,0,0,0,0,0,,0,50,28,434,15.50,3,WR,61,,73,
197,Michael Jenkins,MIN,30,16,8,0,0,0,0,0,0,0,,0,72,40,449,11.23,2,WR,57,,75,
199,Joe Morgan,NOR,24,14,5,0,0,0,0,0,1,1,1.00,0,21,10,379,37.90,3,WR,56,,76,
200,Tiquan Underwood,TAM,25,14,3,0,0,0,0,0,1,1,1.00,0,55,28,425,15.18,2,WR,55,,79,
201,Doug Baldwin,SEA,24,14,4,0,0,0,0,0,0,0,,0,50,29,366,12.62,3,WR,55,,80,
202,Alshon Jeffery,CHI,22,10,6,0,0,0,0,0,0,0,,0,48,24,367,15.29,3,WR,55,,78,
203,Mario Manningham,SFO,26,12,10,0,0,0,0,0,3,64,21.33,0,57,42,449,10.69,1,WR,55,,77,
212,Earl Bennett,CHI,25,12,4,0,0,0,0,0,0,0,,0,49,29,375,12.93,2,WR,50,,82,
214,Austin Pettis,STL,24,14,2,0,0,0,0,0,0,0,,0,48,30,261,8.70,4,WR,50,,81,
217,Rueben Randle,NYG,21,16,1,0,0,0,0,0,0,0,,0,32,19,298,15.68,3,WR,48,,83,
220,Jacoby Jones*+,BAL,28,16,3,0,0,0,0,0,1,6,6.00,0,55,30,406,13.53,1,WR,47,,84,
222,Harry Douglas,ATL,28,15,1,0,0,0,0,0,2,4,2.00,0,59,38,396,10.42,1,WR,46,,86,
223,Travis Benjamin,CLE,23,14,3,0,0,0,0,0,6,66,11.00,0,37,18,298,16.56,2,WR,46,,85,
224,Jarius Wright,MIN,23,7,1,0,0,0,0,0,2,11,5.50,0,36,22,310,14.09,2,WR,44,,87,
225,Julian Edelman,NWE,26,9,3,0,0,0,0,0,4,45,11.25,0,32,21,235,11.19,3,WR,44,,88,
230,Stephen Hill,NYJ,21,11,8,0,0,0,0,0,0,0,,0,47,21,252,12.00,3,WR,43,,89,
231,Aldrick Robinson,WAS,24,15,2,0,0,0,0,0,1,14,14.00,0,19,11,237,21.55,3,WR,43,,90,
234,Ryan Broyles,DET,24,10,3,0,0,0,0,0,0,0,,0,32,22,310,14.09,2,WR,43,,91,
235,Nate Burleson,DET,31,6,5,0,0,0,0,0,8,48,6.00,0,43,27,240,8.89,2,WR,43,,92,
236,Riley Cooper,PHI,25,11,5,0,0,0,0,0,0,0,,0,47,23,248,10.78,3,WR,43,,93,
240,Louis Murphy,CAR,25,16,5,0,0,0,0,0,1,3,3.00,0,61,25,336,13.44,1,WR,40,,94,
245,Jonathan Baldwin,KAN,23,15,7,0,0,0,0,0,0,0,,0,47,20,325,16.25,1,WR,39,,97,
246,Devery Henderson,NOR,30,15,9,0,0,0,0,0,1,13,13.00,0,47,22,316,14.36,1,WR,39,,95,
247,Chaz Schilens,NYJ,27,15,6,0,0,0,0,0,0,0,,0,41,28,289,10.32,2,WR,39,,96,
266,Armon Binns,2TM,23,11,5,0,0,0,0,0,0,0,,0,40,24,277,11.54,1,WR,32,,100,
267,Robert Meachem,SDG,28,15,3,0,0,0,0,0,1,-6,-6.00,0,32,14,207,14.79,2,WR,32,,99,
268,Damian Williams,TEN,24,13,2,0,0,0,0,0,0,0,,0,45,30,324,10.80,0,WR,32,,98,
271,Santonio Holmes,NYJ,28,4,4,0,0,0,0,0,0,0,,0,41,20,272,13.60,1,WR,31,,101,
