Aldrick Robinson ,3,1,6,0,49,18,365,2
Kassim Osgood ,1,0,0,0,1,1,17,0
Leonard Hankerson ,1,0,0,0,50,30,375,3
Drew Davis ,0,0,0,0,16,12,216,2
Tommy Streeter ,0,0,0,0,0,0,0,0
Matt Slater ,0,0,0,0,0,0,0,0
Deonte Thompson ,0,0,0,0,20,10,96,0
Marlon Moore ,0,0,0,0,16,7,62,0
Marcus Easley ,0,0,0,0,5,2,13,0
Trindon Holliday ,0,0,0,0,1,0,0,0
Justin Blackmon ,0,0,0,0,49,29,415,1
Josh Bellamy ,1,0,0,0,0,0,0,0
Marcus Thigpen ,1,0,0,0,17,8,97,1
