Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
51,Tim Rattay ,SF ,QB,26,43,60.5,10.8,232,5.4,58.0,2,0,11,25.6,27T ,1,0,5,90.5
52,David Garrard ,JAC ,QB,23,46,50.0,11.5,231,5.0,57.8,1,2,16,34.8,22,2,0,7,53.8
53,Koy Detmer ,PHI ,QB,19,28,67.9,2.0,224,8.0,16.0,2,0,10,35.7,37,5,0,1,115.8
54,Henry Burris ,CHI ,QB,18,51,35.3,8.5,207,4.1,34.5,3,5,9,17.6,45T ,4,1,4,28.4
55,Chris Weinke ,CAR ,QB,17,38,44.7,6.3,180,4.7,30.0,0,3,10,26.3,24,3,0,6,26.2
56,Randy Fasani ,CAR ,QB,15,44,34.1,11.0,171,3.9,42.8,0,4,9,20.5,27,3,0,7,8.8
57,Doug Pederson ,GB ,QB,19,28,67.9,1.8,134,4.8,8.4,1,0,7,25.0,20T ,2,0,1,90.5
58,Akili Smith ,CIN ,QB,12,33,36.4,33.0,117,3.5,117.0,0,1,6,18.2,24,1,0,3,34.5
59,Jake Delhomme ,NO ,QB,8,10,80.0,2.5,113,11.3,28.2,0,0,4,40.0,54,1,1,0,113.8
60,Todd Bouman ,MIN ,QB,3,6,50.0,6.0,85,14.2,85.0,0,0,2,33.3,48,2,1,2,95.8
61,Shaun King ,TB ,QB,10,27,37.0,9.0,80,3.0,26.7,0,1,4,14.8,20,1,0,1,30.0
62,Todd Collins ,KC ,QB,5,6,83.3,2.0,73,12.2,24.3,1,0,3,50.0,29T ,1,0,0,156.9
63,Josh McCown ,ARI ,QB,7,18,38.9,9.0,66,3.7,33.0,0,2,3,16.7,26,1,0,5,10.2
64,Doug Flutie ,SD ,QB,3,11,27.3,11.0,64,5.8,64.0,0,0,2,18.2,47,1,1,0,51.3
65,Cory Sauter ,CHI ,QB,6,9,66.7,9.0,59,6.6,59.0,0,0,3,33.3,31,1,0,0,85.0
66,Brian Mitchell ,PHI ,RB,1,1,100.0,0.1,57,57.0,3.6,1,0,1,100.0,57T ,1,1,0,158.3
67,Antwaan Randle El ,PIT ,WR,7,8,87.5,0.5,45,5.6,2.8,0,0,3,37.5,25,1,0,1,90.1
68,Marty Booker ,CHI ,WR,1,5,20.0,0.3,44,8.8,2.8,1,0,1,20.0,44T ,1,1,0,103.3
69,Jabar Gaffney ,HOU ,WR,1,1,100.0,0.1,39,39.0,2.4,1,0,1,100.0,39T ,1,0,0,158.3
70,Kevin Johnson ,CLE ,WR,1,2,50.0,0.1,33,16.5,2.1,1,0,1,50.0,33T ,1,0,0,135.4
71,Bubba Franks ,GB ,TE,1,1,100.0,0.1,31,31.0,1.9,1,0,1,100.0,31T ,1,0,0,158.3
72,Jesse Palmer ,NYG ,QB,3,4,75.0,2.0,30,7.5,15.0,0,0,2,50.0,14,0,0,0,95.8
73,Leon Johnson ,CHI ,RB,1,1,100.0,0.1,27,27.0,1.7,0,0,1,100.0,27,1,0,1,118.8
74,Brian Westbrook ,PHI ,RB,1,1,100.0,0.1,25,25.0,1.7,1,0,1,100.0,25T ,1,0,0,158.3
75,Neil O'Donnell ,TEN ,QB,3,5,60.0,1.2,24,4.8,6.0,0,0,2,40.0,15,0,0,0,72.1
76,Reche Caldwell ,SD ,WR,1,1,100.0,0.1,20,20.0,1.2,0,0,1,100.0,20,1,0,0,118.8
77,Craig Hentrich ,TEN ,P,1,1,100.0,0.1,17,17.0,1.1,0,0,1,100.0,17,0,0,0,118.8
78,Randy Moss ,MIN ,WR,1,3,33.3,0.2,13,4.3,0.8,1,0,1,33.3,13T ,0,0,0,87.5
78,Frank Wycheck ,TEN ,TE,1,2,50.0,0.1,13,6.5,0.9,0,0,1,50.0,13,0,0,0,70.8
80,Brad Maynard ,CHI ,P,1,1,100.0,0.1,12,12.0,0.8,1,0,1,100.0,12T ,0,0,0,156.2
81,Scott Covington ,STL ,QB,2,5,40.0,5.0,7,1.4,7.0,0,0,0,0.0,4,0,0,2,47.9
82,James Allen ,HOU ,RB,1,2,50.0,0.1,5,2.5,0.3,1,0,1,50.0,5T ,0,0,0,95.8
82,Alex Van Pelt ,BUF ,QB,2,2,100.0,1.0,5,2.5,2.5,0,0,0,0.0,4,0,0,0,79.2
84,Rohan Davey ,NE ,QB,1,2,50.0,1.0,3,1.5,1.5,0,0,0,0.0,3,0,0,0,56.2
85,Richie Anderson ,NYJ ,FB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Dee Brown ,CAR ,RB,0,1,0.0,0.1,0,0.0,0.0,0,1,0,0.0,0,0,0,0,0.0
85,Wayne Chrebet ,NYJ ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Chris Doering ,WAS ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Kevin Faulk ,NE ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Rod Gardner ,WAS ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Todd Heap ,BAL ,TE,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Priest Holmes ,KC ,RB,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Frisman Jackson ,CLE ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Pat Johnson ,JAC ,WR,0,0,-- ,0.0,0,-- ,0.0,0,0,0,-- ,-- ,0,0,1,0.0
85,Terry Kirby ,OAK ,RB,0,1,0.0,0.2,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Dorsey Levens ,PHI ,RB,0,2,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Curtis Martin ,NYJ ,RB,0,0,-- ,0.0,0,-- ,0.0,0,0,0,-- ,-- ,0,0,1,0.0
85,Deuce McAllister ,NO ,RB,0,0,-- ,0.0,0,-- ,0.0,0,0,0,-- ,-- ,0,0,1,0.0
85,Freddie Mitchell ,PHI ,WR,0,1,0.0,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,39.6
85,Chris Mohr ,ATL ,P,0,1,0.0,0.1,0,0.0,0.0,0,1,0,0.0,0,0,0,0,0.0
