,Calvin Johnson ,DET ,204,226,16,14.15,0,0,0,204,122,1964,5,3,0
,Brandon Marshall ,CHI ,193,217,16,13.54,1,-2,0,192,118,1508,11,0,0
,Dez Bryant ,DAL ,140,210,16,13.11,2,-5,0,138,92,1382,12,2,0
,A.J. Green ,CIN ,168,205,16,12.80,4,38,0,164,97,1350,11,1,0
,Demaryius Thomas ,DEN ,141,203,16,12.71,0,0,0,141,94,1434,10,3,0
,Vincent Jackson ,TB ,147,186,16,11.65,0,0,0,147,72,1384,8,0,0
,Eric Decker ,DEN ,122,184,16,11.53,0,0,0,122,85,1064,13,0,0
,Andre Johnson ,HOU ,162,184,16,11.49,0,0,0,162,112,1598,4,0,0
,Julio Jones ,ATL ,134,183,16,11.43,6,30,0,128,79,1198,10,0,0
,Roddy White ,ATL ,143,177,16,11.07,0,0,0,143,92,1351,7,0,0
,Marques Colston ,NO ,130,175,16,10.96,0,0,0,130,83,1154,10,2,0
,Wes Welker ,NE ,177,173,16,10.84,2,20,0,175,118,1354,6,1,0
,Victor Cruz ,NYG ,143,169,16,10.57,0,0,0,143,86,1092,10,0,0
,Michael Crabtree ,SF ,128,165,16,10.33,1,8,0,127,85,1105,9,0,0
,Reggie Wayne ,IND ,196,165,16,10.31,1,-5,0,195,106,1355,5,1,0
,James Jones ,GB ,100,162,16,10.15,0,0,0,100,64,784,14,0,0
,Randall Cobb ,GB ,114,157,15,10.44,10,132,0,104,80,954,8,1,0
,Mike Williams ,TB ,127,154,16,9.60,0,0,0,126,63,996,9,0,0
,Steve Smith ,CAR ,141,144,16,9.01,3,27,0,138,73,1174,4,1,0
,Stevie Johnson ,BUF ,148,141,16,8.79,0,0,0,148,79,1046,6,1,0
,Lance Moore ,NO ,104,140,15,9.34,0,0,0,104,65,1041,6,0,0
,Cecil Shorts ,JAC ,106,140,14,9.96,1,-4,0,105,55,979,7,1,0
,Torrey Smith ,BAL ,113,134,16,8.40,3,9,0,110,49,855,8,0,0
,Mike Wallace ,PIT ,124,132,15,8.82,5,7,0,119,64,836,8,1,0
,T.Y. Hilton ,IND ,96,131,15,8.73,5,29,0,90,50,861,7,0,0
,Miles Austin ,DAL ,119,130,16,8.14,0,0,0,119,66,943,6,1,0
,Jeremy Maclin ,PHI ,122,128,15,8.51,0,0,0,122,69,857,7,1,0
,Justin Blackmon ,JAC ,134,119,16,7.42,2,23,0,132,64,865,5,0,0
,Sidney Rice ,SEA ,86,117,16,7.34,2,6,0,82,50,748,7,0,0
,Jordy Nelson ,GB ,73,116,12,9.71,0,0,0,73,49,745,7,0,0
