,Antonio Brown ,PIT ,187,249,16,15.57,4,13,0,181,129,1698,13,2,0
,Jordy Nelson ,GB ,151,230,16,14.37,0,0,0,151,98,1519,13,0,0
,Dez Bryant ,DAL ,136,228,16,14.25,0,0,0,136,88,1320,16,0,0
,Demaryius Thomas ,DEN ,184,228,16,14.24,0,0,0,184,111,1619,11,0,0
,Odell Beckham ,NYG ,138,206,12,17.17,7,35,0,130,91,1305,12,1,0
,Randall Cobb ,GB ,138,204,16,12.78,11,37,0,127,91,1287,12,2,0
,Emmanuel Sanders ,DEN ,149,199,16,12.43,8,44,0,141,101,1404,9,0,0
,Julio Jones ,ATL ,164,195,15,13.03,1,1,0,163,104,1593,6,1,0
,Jeremy Maclin ,PHI ,143,192,16,11.99,0,0,0,143,85,1318,10,0,0
,T.Y. Hilton ,IND ,133,178,15,11.90,2,20,0,131,82,1345,7,1,0
,Mike Evans ,TB ,123,177,15,11.81,0,0,0,123,68,1051,12,0,0
,Alshon Jeffery ,CHI ,151,177,16,11.04,6,33,0,145,85,1133,10,0,0
,Golden Tate ,DET ,149,160,16,10.01,5,30,0,144,99,1331,4,0,0
,DeAndre Hopkins ,HOU ,127,157,16,9.81,0,0,0,127,76,1210,6,1,0
,Calvin Johnson ,DET ,128,156,13,11.98,0,0,0,128,71,1077,8,0,0
,Kelvin Benjamin ,CAR ,145,155,16,9.68,0,0,0,145,73,1008,9,1,0
,DeSean Jackson ,WAS ,99,154,15,10.24,4,7,0,95,56,1169,6,0,0
,Mike Wallace ,MIA ,120,148,16,9.24,4,16,0,115,67,862,10,1,0
,Torrey Smith ,BAL ,92,143,16,8.92,0,0,0,92,49,767,11,0,0
,Steve Smith ,BAL ,134,142,16,8.91,0,0,0,134,79,1065,6,1,0
,A.J. Green ,CIN ,118,140,13,10.79,2,2,0,116,69,1041,6,2,0
,Brandon LaFell ,NE ,121,139,16,8.66,2,13,0,119,74,953,7,1,0
,Anquan Boldin ,SF ,133,137,16,8.54,1,4,0,131,83,1062,5,0,0
,Jordan Matthews ,PHI ,103,135,16,8.45,0,0,0,103,67,872,8,0,0
,Sammy Watkins ,BUF ,130,135,16,8.44,2,8,0,128,65,982,6,1,0
,Roddy White ,ATL ,124,134,14,9.58,0,0,0,124,80,921,7,1,0
,Julian Edelman ,NE ,144,131,14,9.33,10,94,0,134,92,972,4,0,0
,Eric Decker ,NYJ ,114,126,15,8.41,0,0,0,114,74,962,5,0,0
,Malcom Floyd ,SD ,92,122,16,7.60,0,0,0,92,52,856,6,0,0
,Eddie Royal ,SD ,94,121,16,7.58,3,14,0,91,62,778,7,1,0
,Michael Floyd ,ARI ,100,120,16,7.52,1,2,0,99,47,841,6,1,0
,Marques Colston ,NO ,99,120,16,7.51,0,0,0,99,59,902,5,1,0
,Brandon Marshall ,CHI ,106,120,13,9.24,0,0,0,106,61,721,8,1,0
,Mohamed Sanu ,CIN ,109,114,16,7.13,7,51,0,99,56,790,5,0,0
,Kendall Wright ,TEN ,97,113,14,8.06,4,54,0,93,57,715,6,1,0
,Vincent Jackson ,TB ,142,112,16,7.01,0,0,0,142,70,1002,2,1,0
,Rueben Randle ,NYG ,127,112,16,6.99,0,0,0,127,71,938,3,0,0
,Andre Johnson ,HOU ,146,112,15,7.44,0,0,0,146,85,936,3,3,0
,Kenny Stills ,NO ,84,111,15,7.39,1,-2,0,83,63,931,3,0,0
,Greg Jennings ,MIN ,91,110,16,6.89,0,0,0,91,59,742,6,0,0
