,,,,,,,,,
,,,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy
Rk,,Age,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt
471,Clyde Gates,25,,2,19,9.5,0,WR,2
472,David Reed,24,2,0,0,,0,WR,2
473,Roscoe Parrish,29,4,1,16,16,0,WR,2
474,Brett Swain,26,7,2,15,7.5,0,WR,2
475,Garrett Graham,25,2,1,24,24,0,TE,2
476,Mike Sellers,36,2,1,15,15,0,TE,2
477,Chris Pressley,25,5,3,19,6.33,0,RB,2
478,Alex Green,23,1,1,6,6,0,RB,2
479,Brock Bolen,26,5,2,6,3,0,RB,2
480,Josh Vaughan,25,0,0,0,,0,RB,2
481,Thomas Clayton,27,1,1,3,3,0,RB,2
482,Cedric Peerman,25,1,0,0,,0,RB,2
483,Eddie Williams,24,,1,17,17,0,RB,2
484,Chauncey Washington,26,3,2,13,6.5,0,RB,1
485,Reagan Maui'a,27,1,1,12,12,0,RB,1
486,Shaun Chapas,23,1,1,9,9,0,RB,1
487,Anthony Allen,23,0,0,0,,0,RB,1
488,Mike Cox,26,3,2,8,4,0,RB,1
489,Allen Bradford,23,,0,0,,0,RB,1
490,Emmanuel Arceneaux,24,2,1,10,10,0,WR,1
491,David Ausberry,24,2,2,14,7,0,TE,1
492,Lee Smith,24,4,4,11,2.75,0,TE,1
493,Anthony Hill,26,3,2,10,5,0,TE,1
494,Jeron Mastrud,24,2,1,8,8,0,TE,1
495,Reggie Kelly,34,2,1,7,7,0,TE,1
496,Aaron Brown,26,1,1,9,9,0,RB,1
497,Julius Thomas,23,7,1,5,5,0,TE,1
498,Allen Reisner,23,1,1,5,5,0,TE,1
499,Ryan Mahaffey,24,1,1,5,5,0,RB,1
500,D.J. Williams,23,4,2,13,6.5,0,TE,1
501,Jordan Shipley,26,5,4,14,3.5,0,WR,1
502,Colin Kaepernick,24,0,0,0,,0,QB,1
503,Ryan D'Imperio,24,6,2,7,3.5,0,RB,1
504,Brian Hoyer,26,0,0,0,,0,QB,1
505,Chase Daniel,25,0,0,0,,0,QB,1
506,Tyrod Taylor,22,0,0,0,,0,QB,1
507,Mark Brunell,41,0,0,0,,0,QB,1
508,Shaun Hill,31,0,0,0,,0,QB,1
509,Jeremy Horne,25,2,0,0,,0,WR,1
510,Armanti Edwards,23,0,0,0,,0,WR,1
511,Maurice Stovall,26,3,1,8,8,0,WR,1
512,Nick Miller,24,1,1,8,8,0,WR,1
513,Brandon Stokley,35,3,1,7,7,0,WR,1
514,George Wilson,30,0,0,0,,0,WR,1
515,Micheal Spurlock,28,6,2,13,6.5,0,WR,1
516,Drew Stanton,27,,0,0,,0,,
517,Tyler Thigpen,27,0,0,0,,0,QB,
518,Sage Rosenfels,33,,0,0,,0,,
519,Max Hall,26,,0,0,,0,,
520,Tory Humphrey,28,,0,0,,0,,
521,Kevin O'Connell,26,,0,0,,0,,
522,Peyton Manning,35,,0,0,,0,,
523,Mike McNeill,23,,0,0,,0,,
524,Jordan Todman,21,,0,0,,0,,
525,Frank Summers,26,,0,0,,0,,
526,Tyrell Sutton,25,,0,0,,0,,
527,Joique Bell,25,,0,0,,0,,
528,Lonyae Miller,23,,0,0,,0,,
529,Darren Evans,23,,0,0,,0,,
530,Richard Medlin,24,,0,0,,0,,
531,Chris Gronkowski,25,0,0,0,,0,,
532,Matt Lawrence,26,,0,0,,0,,
533,Brandon Jackson,26,,0,0,,0,,
534,Javarris Williams,25,,0,0,,0,,
535,Rusty Smith,24,,0,0,,0,,
536,Rudy Carpenter,25,,0,0,,0,,
537,Jimmy Clausen,24,,0,0,,0,,
538,Brady Quinn,27,,0,0,,0,,
539,Moran Norris,33,,0,0,,0,,
540,Jeff Garcia,41,,0,0,,0,,
541,Matt Gutierrez,27,,0,0,,0,,
542,Isaiah Stanback,27,,0,0,,0,,
543,David Carr,32,,0,0,,0,,
544,Dennis Dixon,26,,0,0,,0,,
545,Mike Kafka,24,0,0,0,,0,QB,
546,Jim Kleinsasser,34,6,1,4,4,0,TE,
547,Michael Higgins,24,1,1,4,4,0,TE,
548,Stephen Spach,29,3,2,2,1,0,TE,
549,Tom Brandstater,27,0,0,0,,0,QB,
550,Terrelle Pryor,22,0,0,0,,0,,
551,Byron Leftwich,31,,0,0,,0,,
552,Chris Greisen,35,,0,0,,0,,
553,Joe Zelenka,35,,0,0,,0,,
554,Dan Gronkowski,26,,0,0,,0,,
555,Tony Moeaki,24,,0,0,,0,,
556,Richard Gordon,24,1,1,2,2,0,TE,
557,Derek Anderson,28,0,0,0,,0,QB,
558,Xavier Omon,26,,0,0,,0,,
559,Brandon Tate,24,0,0,0,,0,,
560,Juaquin Iglesias,24,,0,0,,0,,
561,David Gettis,24,,0,0,,0,,
562,Kerry Meier,25,1,0,0,,0,,
563,Nate Hughes,26,,0,0,,0,,
564,Jerrel Jernigan,22,2,0,0,,0,,
565,Kamar Aiken,22,0,0,0,,0,,
566,Darvin Adams,21,,0,0,,0,,
567,Marlon Moore,24,0,0,0,,0,,
568,Anthony Gonzalez,27,2,0,0,,0,,
569,Courtney Roby,28,0,0,0,,0,,
570,Jeff Maehl,22,1,0,0,,0,,
571,Tyler Grisham,24,,0,0,,0,,
572,Jaymar Johnson,27,,0,0,,0,,
573,Seyi Ajirotutu,24,2,1,4,4,0,WR,
574,Dexter Jackson,25,,0,0,,0,,
575,Roberto Wallace,25,,0,0,,0,,
576,Dominique Curry,24,0,0,0,,0,,
577,Jamar Newsome,24,,0,0,,0,,
578,Elbert Mack,25,0,0,0,,0,,
579,Quinten Lawrence,27,,0,0,,0,,
580,Tandon Doss,22,2,0,0,,0,,
581,Richard Goodman,24,2,0,0,,0,,
582,Julius Pruitt,26,0,0,0,,0,,
583,Logan Payne,26,,0,0,,0,,
584,Kevin Cone,23,,0,0,,0,,
585,Charly Martin,27,,0,0,,0,,
586,Max Komar,24,,0,0,,0,,
587,Stephen Williams,25,,0,0,,0,,
588,Arnaz Battle,31,1,0,0,,0,,
589,Joe Hastings,24,1,0,0,,0,,
590,Michael Clayton,29,1,0,0,,0,,
591,John Matthews,25,,0,0,,0,,
592,Will Yeatman,23,1,0,0,,0,,
593,Rob Myers,25,,0,0,,0,,
594,Chase Coffman,25,,0,0,,0,,
595,Fendi Onobun,25,,0,0,,0,,
596,Nate Solder,23,0,0,0,,0,,
597,Corey McIntyre,32,1,1,4,4,0,RB,
598,Mike Goodson,24,3,1,4,4,0,RB,
599,Armond Smith,25,1,0,0,,0,RB,
600,Larry Johnson,32,0,0,0,,0,RB,
601,John Nalbone,25,,0,0,,0,,
602,Andre Brown,25,,0,0,,0,,
603,Antone Smith,26,0,0,0,,0,,
604,Kory Sheets,26,,0,0,,0,,
605,Shaun Draughn,24,,0,0,,0,,
606,Lousaka Polite,30,0,0,0,,0,,
607,Rashad Jennings,26,,0,0,,0,,
608,Kris Wilson,30,0,0,0,,0,,
609,Mickey Shuler,25,,0,0,,0,,
610,Richard Quinn,25,,0,0,,0,,
611,Dominique Byrd,27,,0,0,,0,,
612,Nate Byham,23,,0,0,,0,,
613,John Carlson,27,,0,0,,0,,
614,Martin Rucker,26,,0,0,,0,,
615,Ben Hartsock,31,0,0,0,,0,,
616,Collin Franklin,23,2,0,0,,0,,
617,Jameson Konz,25,,0,0,,0,,
618,Mike Leach,35,0,0,0,,0,,
619,Brian Jennings,35,,0,0,,0,,
620,Bo Scaife,30,,0,0,,0,,
621,Clark Harris,27,,0,0,,0,,
622,Gary Barnidge,26,,0,0,,0,,
623,Justin Snow,35,0,0,0,,0,,
624,Billy Volek,35,0,0,0,,0,QB,-1
